eng,ssw,source
"Ratification of the Agreement between the Government of the Republic of India, the Government of the Federative Republic of Brazil and the Government of the Republic of South Africa on the IBSA Fund for the Alleviation of Poverty and Hunger (signed 17 October 2017) (Tabled on 18 October 2019) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 22 October 2019) (NCOP: Referred to Select Committee on Security and Justice on 24 October 2019).","Kusayinwa kwesivumelwane lesisemkhatsini waHulumende weRiphabhliki yase-Indiya, Hulumende weRiphabliki yeNhlangano yeBhrazili kanye naHulumende weRiphabhliki yaseNingizimu Afrika lesimayelana neSikhwamamali se-IBSA seKwenta Buphuya neNdlela kube Ncono (sasayinwa mhla ti-17 Imphala 2017) (seTfulwa mhla ti-18 Imphala 2019) (Umkhandlu waVelonkhe weTifundza: Sandluliselwa kuLikomidi Letebudlelwano Nekubambisana Kwemave Emhlaba mhla tinge-22 Imphala  2019) (Umkhandlu waVelonkhe weTifundza: Sendluliselwa kuLikomdi leTekuvikeleka Nebulungiswa mhla tinge-24 Imphala 2019).",July
Agreement between the Government of the Republic of South Africa and the European Atomic Energy Community (EURATOM) for Co-operation in the Peaceful Uses of Nuclear Energy (Tabled on 14 November 2019) (NA: Referred to Portfolio Committee on Mineral Resources and Energy on 18 November 2019).,Sivumelwane lesisemkhatsini waHulumende waseRiphabhliki yaseNingizimu Afrika kanye neNhlangano yaseYurophu yeteMandla e-Athomi (i-EURATOM) seKubambisana eKusebentiseni ngeKuthula Emandla eNuzi (Setfulwe mhla ti-14 Lweti 2019) (Libandla laVelonkhe: Sendluliselwe kuLikomidi leLibandla laVelonkhe leteTimbiwa Nemandla mhla ti-18 Lweti 2019).,July
Treaty between the Government of the Republic of South Africa and the Government of the United Mexican States on Mutual Legal Assistance in Criminal Matters (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 9 March 2020 – reported on 29 May 2020 – approved on 17 June 2020) (NCOP: Referred to Select Committee on Security and Justice on 10 March 2020 – reported on 1 June 2020).,Sivumelwane lesisemkhatsini waHulumende weRiphabhliki yaseNingizimu Afrika naHulumende wase-United Mexican States lesimayelana neKusitana ngekweMtsetfo eTindzabeni teBugebengu (Setfulwe mhla ti-5 Indlovulenkhulu 2020) (Umkhandlu waVelonkhe weTifundza: Sendluliselwe kuLikomidi leLibandla laVelonkhe leTebulungiswa Nekulungiswa Kwesimilo mhla ti-9 Indlovulenkhulu 2020 – Kubikwe mhla tinge-29 Inkhwekhweti 2020 - savunywa mhla ti-17 Inhlaba 2020) (Umkhandlu waVelonkhe weTifundza: Sendluliselwa kuLikomdi leTekuvikeleka Nebulungiswa mhla ti-10 Indlovulenkhulu 2020 – kubikwe mhla lu-1 Inhlaba  2020).,July
Treaty between the Government of the Republic of South Africa and the Government of the United Mexican States on Extradition (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 9 March 2020 – reported on 29 May 202 0– approved on 17 June 2020) (NCOP: Referred to Select Committee on Security and Justice on 10 March 2020 – reported on 1 June 2020).,Sivumelwane lesisemkhatsini waHulumende weRiphabhliki yaseNingizimu Afrika naHulumende wase-United Mexican States lesimayelana lekulandvwa kwemuntfu eveni lakubo abuyiswe eveni lente kulo bugebengu (Setfulwe mhla ti-5 Indlovulenkhulu 2020) (Umkhandlu waVelonkhe weTifundza: Sendluliselwe kuLikomidi leLibandla laVelonkhe leTebulungiswa Nekulungiswa Kwesimilo mhla ti-9 Indlovulenkhulu 2020 – Kubikwe mhla tinge-29 Inkhwekhweti 2020 - savunywa mhla ti-17 Inhlaba 2020) (Umkhandlu waVelonkhe weTifundza: Sendluliselwa kuLikomdi leTekuvikeleka Nebulungiswa mhla ti-10 Indlovulenkhulu 2020 – kubikwe mhla lu-1 Inhlaba  2020).,July
African Charter on Statistics (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Public Service and Administration on 9 March 2020).,Umculu wase-Afrika weTelubalobalo (Wetfulwe mhla ti-5 Indlovulenkhulu 2020) (Libandla laVelonkhe: Sendluliselwe kuLikomidi leLibandla laVelonkhe leTemisebenti Yahulumende Nekuphatsa mhla ti-9 Indlovulenkhulu 2020),July
Treaty of Amity and Cooperation (TAC) in South East Asia (Tabled on 18 March 2020) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 26 March 2020 – reported on 11 June 2020 – approved on 17 June 2020)(NCOP: Referred to Select Committee on Security and Justice on 29 June 2020).,Sivumelwane neBudlelwane loBucotfo neKubambisana (i-TAC) eNingizimu yeMphumalanga ye-Eshiya (Setfulwe mhla ti-18 Indlovulenkhulu 2020) (Umkhandlu waVelonkhe weTifundza: Sendluliselwe kuLikomidi Letebudlelwano Nekubambisana Kwemave Emhlaba mhla tinge-26 Indlovulenkhulu 2020 – sabikwa mhla ti-11 Inhlaba 2020 – savunywa mhla ti-17 Inhlaba 2020) (Umkhandlu waVelonkhe weTifundza: Sendluliselwa kuLikomdi leTekuvikeleka Nebulungiswa mhla tinge-29 Inhlaba 2020).,July
MINISTERIAL STATEMENT:,SITATIMENDE SENDVUNA:,July
Statement by the Minister of Health on COVID-19.,Sitatimende seNdvuna Yetemphilo lesimayelana ne-COVID-19.,July
ORDERS OF THE DAY:,TINHLELO TELUSUKU:,July
"Consideration of Report of Standing Committee on Finance on Revised Fiscal Framework and Revenue Proposals for 2020-2021 (Announcements, Tablings and Committee Reports, 7 July 2020, p 4).","Kucutjungulwa kweMbiko weLikomidi leLimile leTetimali lomayelana neLuhlelomsebenti Lolubuyeketiwe Loluphatselene neTimali taHulumende neTiphakamiso teMalingena yanga-2020-2021 (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-07 Kholwane 2020, likh. le-4).",July
FURTHER BUSINESS,UMSEBENTI LOCHUBEKAKO,July
ORDERS OF THE DAY:,TINHLOLO TELUSUKU:,July
"Consideration of Report of Portfolio Committee on Police on Unsolicited petition on Re-enlistment of former Police forum members into Police Service (Mr M Qongqo) (Announcements, Tablings and Committee Reports, 26 June 2020, p 20).","Kucutjungulwa kweMbiko weLokomidi leLibandla laVelonkhe  leTemaphoyisa lomayelana neSicelosikhalo lesingakacelwa lemayelana nekuphindza futsi Kubhaliswe emalunga esikhatsi lesendlulile enkhundla yeteMaphoyisa kuLuphiko Lwetemisebenti Yemaphoyisa (Mnu. M Qongqo) (Simemetelo, Tetfulo neMibiko yeLikomidi, yamhla tinge-26 Inhlaba 2020, likh. 20).",July
"Consideration of Report of Portfolio Committee on Police on Petition from the residents of Wattville, Benoni calling on the Assembly to address the escalation of crime, including gender-based violence and violence against children, and the need for a police station in their area (submitted by Ms H Ismail, MP) and Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high crime rate and drugs, the provision of police kiosks and police vehicles in their area (submitted by Ms H Ismail, MP) (Announcements, Tablings and Committee Reports, 26 June 2020, p 15).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTemaphoyisa lomayelana neSicelosikhalo sebahlali baseWattville, eBenoni bacela Libandla kutsi lilungise kubhebhetseka kwebugebengu, lokufaka ekhatsi budlova lobucondziswe kubulili lobutsite nakubantfwana, nesidzingo sekutsi kube nesiteshi semaphoyisa kulendzawo yabo (singeniswe nguMk. H Ismail, Lilunga lePhalamende) kanye neSicelosikhalo sebahlali base-Actonville, eBenoni bacela Libandla kutsi liphenye ngelizinga leliphakeme lebugebengu, netidzakamiva, kuba khona kwesiteshi semaphoyisa lesingumahambanendlwana netimoto temaphoyisa kulendzawo yabo (singeniswe nguMk. H Ismail Lilunga lePhalamende) (Simemetelo, Tetfulo neMibiko yeMakomidi, yamhla tinge-26 Inhlaba 2020, likh. le-15).",July
"Consideration of Report of Portfolio Committee on Police on Petition of Mr Cornelius Basson (Announcements, Tablings and Committee Reports, 26 June 2020, p 10).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leMaphoyisa lomayelana  neSicelosikhalo seMnu. Cornelius Basson (Simemetelo, Tetfulo neMibiko yeLikomidi, yamhla tinge-31 Inhlaba 2020, likh. le-10).",July
"Consideration of Report of Portfolio Committee on Police on Application for Firearm Amnesty declaration (Announcements, Tablings and Committee Reports, 26 June 2020, p 9).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leteMaphoyisa lomayelana  neKufaka Sicelo Sashwele seTibhamu (Simemetelo, Tetfulo neMibiko yeLikomidi, yamhla tinge-26 Inhlaba 2020, likh. le-9).",July
"Consideration of Report of Portfolio Committee on Police on Petition from the residents of Kempton Park, calling on the Assembly to investigate chronic inadequate visible policing and shortage of vehicles at the Kempton Park police station (submitted by Mr M Waters, MP) (Announcements, Tablings and Committee Reports, 26 June 2020, p 4).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTemaphoyisa lomayelana neSicelosikhalo sebahlali baseKempton Park, bacela Libandla kutsi liphenye ngekungeneli lokunemtselela lomubi kakhulu kwemaphoyisa nekweswelakala kwetimoto temaphoyisa esiteshini semaphoyisa eKempton Park (Mnu. M Waters, Lilunga lePhalamende) (Timemetelo neMibiko yeLikomidi, mhla tinge-25 Inhlaba 2020, likh. le-5).",July
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s fourth quarter financial and non-financial performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 25 June 2020, p 5).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekuhwebelana neTimboni lomayelana neKusebenta kweTetimali teLitiko Letekuhwebelana Netimboni Netekutfutfukiswa kweTemnotfo ngeKota yeSine yeTetimali kanye neKungasebenti ngekweTimali kwemnyakatimali wanga-2019/20 (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla tinge-25 Inhlaba 2020, likh. le-5).",July
"Consideration of Report of Portfolio Committee on Trade and Industry on Oversight visit to Gauteng (Announcements, Tablings and Committee Reports, 23 June 2020, p 17).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekuhwebelana Netimboni mayelana neLuvakasho lweTemsebenti lwekuya eGauteng (Simemetelo, Tetfulo neMibiko yeLikomidi, mhla tinge-23 Inhlaba  2020, likh. 17).",July
"Consideration of Report of Portfolio Committee on Trade and Industry on Oversight visit to Western Cape (Announcements, Tablings and Committee Reports, 23 June 2020, p 4).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekuhwebelana Netimboni mayelana neLuvakasho lweTemsebenti lwekuya eNshonalanga Kapa (Simemetelo, Tetfulo neMibiko yeLikomidi, mhla tinge-23 Inhlaba  2020, likh. 4).",July
"Consideration of Report of Joint Standing Committee on Defence on Letters from the President on Employment of South African National Defence Force in Mozambique Channel, Democratic Republic of Congo, to Wuhan City in Hubei Province of People’s Republic of China, and in support of South African Police Service and other State Departments (Announcements, Tablings and Committee Reports, 19 June 2020, p 3).","Kucutjungulwa kweMbiko weLikomidi leLimile Lelihlangene leTekuvikela lomayelana neTincwadzi letivela kuMengameli letimayelana neKutfunyelwa kweMbutfo weTekuvikela waseNingizimu Afrika eMozambique Channel, eDemocratic Republic of Congo, eDolobhenikati laseWuhan eSifundzeni saseHubei eRiphabhliki yeBantfu yaseShayina, kanye nekwesekela Temisebenti Yemaphoyisa aseNingizimu Afrika kanye nalamanye Ematiko eMbuso (Simemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-19 Inhlaba 2020, likh. le-3).",July
"Consideration of Report of Portfolio Committee on Employment and Labour on Second Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcements, Tablings and Committee Reports, 18 June 2020, p 120).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekucashwa Nemisebenti lomayelana neMbiko weKota yeSibili lophatselene nekusebenta kweLitiko Letekucashwa Nemisebenti kanye netikhungo teTemisebenti macondzana nekuhlangabetana netinjongo telisubuciko langa-2019/20 (Simemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-18 Inhlaba 2020, likh. le-120).",July
"Consideration of Report of Portfolio Committee on Employment and Labour on First Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcements, Tablings and Committee Reports, 18 June 2020, p 81).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekucashwa Nemisebenti lomayelana neMbiko weKota yeSibili lophatselene nekusebenta kweLitiko Letekucashwa Nemisebenti kanye netikhungo teTemisebenti macondzana nekuhlangabetana netinjongo telisubuciko langa-2019/20 (Simemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-18 Inhlaba 2020, likh. le-81).",July
"Consideration of Report of Portfolio Committee on Employment and Labour on Third Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2018/19 (Announcements, Tablings and Committee Reports, 18 June 2020, p 12).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekucashwa Nemisebenti lomayelana neMbiko weKota yeSitsatfu lophatselene nekusebenta kweLitiko Letekucashwa Nemisebenti kanye netikhungo teTemisebenti macondzana nekuhlangabetana netinjongo telisubuciko langa-2019/19 (Simemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-18 Inhlaba 2020, likh. le-12).",July
"Consideration of Report of Portfolio Committee on Employment and Labour on Oversight visit to Compensation Fund Head-Quarters (Announcements, Tablings and Committee Reports, 18 June 2020, p 3).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekucashwa Nemisebenti lomayelana neluvakasho lweteMsebenti weTekwengamela eNhlokohhovisi yeSikhwama seKuncemphetela (Simemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-18 Inhlaba 2020, likh. le-3).",July
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Third Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 19 May 2020, p 3).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekutfutsa weTekuhweba Netimboni lomayelana neKusebenta ngekweTetimali kweLitiko Letekuhweba Netimboni Netentfutfuko yeTemnotfo ngeKota yeSitsatfu yeTetimali kanye neKungasebenti ngekweTimali kwemnyakatimali wanga-2019/20 (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-19 Inkhwekhweti 2020, likh. le-3).",July
"Consideration of Report of Portfolio Committee on International Relations and Cooperation on Oversight visit on pilot project for acquisition of office accommodation for South African Permanent Mission to United Nations and Consulate-General in New York, United States of America (Announcements, Tablings and Committee Reports, 16 March 2020, p 11).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leteBudlelwane beMave eMhlaba neKuhlanganyela mayelana neMsebenti weluvakasho lweKwengamela umklamo wekulinga kutfolakala indzawo yelihhovisi leMishini yeSiphelane kuMhlabuhlangene kanye neLincusajikelele eNew York, eMelika (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-16 Indlovulenkhulu 2020, likh. le-11).",July
"Decision of Question on Report of Portfolio Committee on Higher Education, Science and Technology on 2019/20 First Quarter financial and service delivery performance report of Department of Higher Education and Training (Announcements, Tablings and Committee Reports, 5 December 2019, p 64).","Kutsatfwa kweSincumo mayelana neMbuto weMbiko weLikomidi leLibandla laVelonkhe leTekutfutsa weTemfundvo Lephakeme, Tesayensi neTheknoloji lomayelana nembiko weKota Yekucala yanga-2019/20 wetetimali nekusebenta kwekwetfula tinsita kweLitiko Letemfundvo Lephakeme Nekucecesha (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-05 Ingongoni 2019, likh. le-64).",July
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department Public Service and Administration, Entities and Public Service Commission (Announcements, Tablings and Committee Reports, 11 March 2020, p 30).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe  leTemisebenti yaHulumende neKuphatsa lomayelana neKusebenta kweKota yeSibili neyeSitsatfu yemnyakatimali wanga-2019/20: Litiko leTemisebenti yaHulumende neKuphatsa, Tinhlaka talo, neKhomishini yeTemisebenti yaHulumende (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-11 Indlovulenkhulu 2020, likh. le-30.",July
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Statistics South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 23).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe  leTemisebenti yaHulumende neKuphatsa lomayelana neKusebenta kweKota yeSibili neyeSitsatfu yemnyakatimali wanga-2019/20: Telubalobalo taseNingizimu Afrika (Timemetelo, Tetfulo kanye neMibiko yeLikomidi, mhla ti-11 Indlovulenkhulu 2020, likh. le-23).",July
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department of Planning, Monitoring and Evaluation and Brand South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 15).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe  leTemisebenti yaHulumende neKuphatsa lomayelana neKusebenta kweKota yeSibili neyeSitsatfu yemnyakatimali wanga-2019/20: Litiko Letekuhlela, Kucaphela Nekulinganisa Kusebenta Kwahulumende  ne-Brand South Africa (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla, 11 Indlovulenkhulu 2020, likh.le-15).",July
"Consideration of Report of Portfolio Committee on Basic Education on oversight visit to Capricorn and Sekhukhune Education Districts, Limpopo Province (Announcements, Tablings and Committee Reports, 26 February 2020, p 6).","Kucutjungulwa kweMbiko weLokomidi leLibandla laVelonkhe leTemfundvo Lesisekelo mayelana neluvakasho lwetekwengamela lwekuya eTigodzini teteMfundvo eCapricorn naseSekhukhune, kuSifundza saseLimpopo (Timemetelo, Tetfulo neMibiko yeMakomidi, mhla tinge-26 Indlovulencane 2020, likh. 6).",July
"Consideration of Report of Portfolio Committee on Basic Education on Submission from the Griqua People’s Heritage on the lack of a Primary School (Announcements, Tablings and Committee Reports, 11 February 2020, p 5).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekutfutsa weTemfundvo Lesisekelo lomayelana neSetfulo lesibuya kuteMagugu neMafa emaGriqua lesimayelana nekungabikhona kweSikolo seMabanga Laphasi (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-11 Indlovulencane 2020, likh le-5)",July
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s performance in first quarter of 2019/20 (Announcements, Tablings and Committee Reports, 9 December 2019, p 20).","9.	Kucutjungulwa kweMbiko weLikomidi leLimile leTindlu Totimbili lomayelana neLulawulo lweTetimali tePhalamende lomayelana neKusebenta kwekota yekucala yemnyaka wa-2019/20 kwePhalamende yaseRiphabhliki yaseNingizimu Afrika (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-09 Ingongoni 2019, likh. le-20).",July
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s 2018/19 Annual Report (Announcements, Tablings and Committee Reports, 9 December 2019, p 5).","Kucutjungulwa kweMbiko weLikomidi leLimile Letindlu Totimbili weLulawulo lweTimali tePhalamende lomayelana neMbiko weMnyaka wePhalamende yaseRiphabhliki yaseNingizimu Afrika wanga-2018/19. (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-09 Ingongoni 2019, likh. le-5)",July
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on 2018/19 Annual Reports of National Skills Fund and Sector Education and Training Authorities (Announcements, Tablings and Committee Reports, 5 December 2019, p 24).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekutfutsa weTemfundvo Lephakeme, Tesayensi Netheknoloji lomayelana neMibiko yeMnyaka wa-2018/19 weSikhwama saVelonkhe seTemakhono neMkhakha weTemfundvo neTikhungo letinemagunya eKucecesha (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-5 Ingongoni 2019, likh. le-24).",July
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Second Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 5 December 2019, p 4).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekutfutsa weTekuhweba Netimboni lomayelana neKusebenta ngekweTetimali kweLitiko Letekuhweba Netimboni Netentfutfuko yeTemnotfo ngeKota yeSibili yeTetimali kanye neKungasebenti ngekweTimali kwemnyaka wetetimali wanga-2019/20 (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-5 Ingongoni 2019, likh. le-4).",July
"Consideration of Report of Standing Committee on Auditor-General on Integrated Annual Report of Auditor-General for financial year 2018/19 (Announcements, Tablings and Committee Reports, 4 December 2019, p 3).","Kucutjungulwa kweMbiko weLikomidi leLimile leMhlolimabhuku Jikelele lomayelana neMbiko weMnyaka Lohlanganisiwe weMhlolimabhuku Jikelele wemnyakatimali wanga-2018/19 (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-3 Ingongoni 2019, likh. le-3).",July
MOTIONS (Notice given previously):,TISHUKUMISO (Satiso sikhishwe phambilini):,July
"See p 94-96 (Ms R C Adams, Mr S Ngcobo, Ms M S Khawula, Ms N G Adoons, Mr S L Ngcobo, Ms T Breedt, Ms T Mgweba, Mr W M Thring, Mr N L S Kwankwa, Mr M L Shelembe, Mrs E N Ntlangwini, Ms F A Masiko, Mr S H Mbuyane, Ms A S Hlongo, M.Gen O S Terblanche, Mr M G E Hendricks, Mr T S Mpanza, Mr P P Keetse, Ms R C Adams).","Buka emakh. 94-96 (Mk. R C Adams, Mnu. S Ngcobo, Mk. M S Khawula, Mk. N G Adoons, Mnu. S L Ngcobo, Mk. T Breedt, Mk. T Mgweba, Mnu. W M Thring, Mnu. N L S Kwankwa, Mnu. M L Shelembe, Nkkt. E N Ntlangwini, Mk. F A Masiko, Mnu. S H Mbuyane, Mk. A S Hlongo, M.Gen O S Terblanche, Mnu. M G E Hendricks, Mnu. T S Mpanza, Mnu. P P Keetse, Mk. R C Adams).",July
MOTIONS (Notice given on 26 June 2020):,TISHUKUMISO (Satiso sikhishwe mhla tinge-26 Inhlaba 2020):,July
Subject for discussion (Mr K J Mileham): The impending shortage of diesel in the Republic and the dire consequences this will have on the country’s ailing economy and food security.,Lokutawucocisanwa ngako (Mnu.K J Mileham): Kuswelakala kwedizili lokutawukwenteka lapha eRiphabhliki kanye nemiphumela lemibi kakhulu letawubangelwa nguloko kulomnotfo walelive lontengantengako kanye nekubakhona kwekudla.,July
APPENDIXES,TELEKO,July
PETITIONS REFERRED TO COMMITTEES,TICELOSIKHALO LETENDLULISELWE KUMAKOMIDI,July
"Petition from the residents of the City of Ekurhuleni, calling on the Assembly to investigate the chronic inadequate refuse removal services in their area (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Sicelosikhalo sebahlali beLidolobhakati lase-Ekurhuleni, bacela Libandla laVelonkhe kutsi liphenye ngekufadabala kwetekutfutfwa kwemfucuta endzaweni yabo (Mk. H Ismail) – (Likomidi leSigungu saVelonkhe leTekubusa Ngekubambisana Netendzabuko – Libandla laVelonkhe).",July
"Petition from the residents of Kokomeng and neighbouring villages, calling on the Assembly to investigate and prioritize the re-opening of the Kokomeng police station (Mr I S Seitlholo) – (Portfolio Committee on Police – National Assembly).","Sicelosikhalo sebahlali baseKokomeng netigodzi letibomakhelwane, bacela Libandla kutsi liphenye futsi licale ngekuphindza kuvulwa kwesikolwa kwesiteshi semaphoyisa saseKokomeng (Mnu. I S Seitlholo) – (Likomidi leLibandla laVelonkhe leTemaphoyisa – Libandla laVelonkhe).",July
"Petition from the residents of Bredell, Pomona, Brentwood Park and Glen Marais (ward 25), City of Ekurhuleni, calling on the Assembly to investigate the collapse of the reliable supply of electricity in their areas (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Sicelosikhalo sebahlali baseBredell, Pomona, Brentwood Park naseGlen Marais (beliwadi le-25),  beLidolobhakati lase-Ekurhuleni, bacela Libandla kutsi liphenye ngekufadabala kwekuphakelwa kwagezi ngalokwetsembekile etindzaweni tabo (Mk. H Ismail) – (Likomidi leSigungu saVelonkhe leTekubusa Ngekubambisana Netendzabuko – Libandla laVelonkhe).",July
"Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high rentals paid by tenants of council-owned flats (Ms H Ismail) – (Portfolio Committee on Human Settlements, Water and Sanitation – National Assembly).","Sicelosikhalo lesibuya kubahlali base-Actonville, eBenoni, bacela Libandla laVelonkhe kutsi liphenye ngemali yekurenta lebita kakhulu lekhokhwa bantfu labarenta tindlu telikhansela (Mk. H Ismail) – (Likomidi leLibandla laVelonkhe leTekuhlaliswa Kwebantfu, Emanti Nekuhanjiswa Kwendle – Libandla laVelonkhe).",July
"Petition from the residents of Jamestown, Stellenbosch, calling on the Assembly to investigate the transfer, by Eskom, of management powers over the electricity network in Jamestown to Stellenbosch municipality (Dr L Shreiber) – (Portfolio Committee on Public Enterprises -  National Assembly).","Sicelosikhalo sebahlali baseJamestown, eStellenbosch, bacela Libandla laVelonkhe kutsi liphenye kwendluliswa, lokwentiwe yi-Eskom, kwelulawulo lwemandla enethiwekhi yagezical eJamestown aye kumasipala waseStellenboschl (Dkt. L Shreiber) – (Likomidi leLibandla laVelonkhe leTemabhizinisi aHulumende – Libandla laVelonkhe).",July
"Petition from the residents of Germiston, Ekurhuleni, calling on the Assembly to investigate power outages in Germiston (Ms M Clarke) – (Portfolio Committee on Public Enterprises - National Assembly).","Sicelosikhalo lesivela kutakhamuti taseGermiston, kumasipala waseku-Ekurhuleni, ticela Libandla laVelonkhe kutsi liphenye kucishelwa gezi kanengi eGermiston (Mk. M Clarke) – (Likomidi leLibandla laVelonkhe leTemabhizinisi aHulumende – Libandla laVelonkhe).",July
"Petition from the residents of Letsitele Town, Ward 23, Tzaneen, calling on the Assembly to ensure that the Tzaneen municipality abides by the laws, by-laws and regulations, and that it implements the prescribed environmental and applicable zoning, as well as monitor and halt all illegal activities (Ms D van der Walt) – (Portfolio Committee on Cooperative Governance and Traditional Affairs - National Assembly).","Sicelosikhalo lesivela kutakhamuti taseLetsitele Town, eWadi 23, eTzaneen, ticela Libandla laVelonkhe kutsi licisekise kutsi masipala waseTzaneen uyayihlonipha imitsetfo, imitsetfo yamasipala kanye nemitsetfosimiso, nekutsi uyakufezekisa kwehlukaniswa kwetindzawo lokuncunyiwe nalokusebentako, kanye nekucaphela futsi uvimbe tonkhe tento letingekho emtsetfweni (Mk. D van der Walt) – (Likomidi leLibandla laVelonkhe leTekubusa ngeKuhlanganyela neTendzabuko – Libandla laVelonkhe).",July
"Petition from the farmers and the community of Tzaneen, Limpopo, represented by AGRI Letaba, calling on the Assembly to investigate severe electricity outages, power dips, low voltage and poor to no maintenance since 2016 as a result of the failure of the Greater Tzaneen Municipality (Ms D van der Walt) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Sicelosikhalo sebalimi kanye nemmango waseTzaneen, eLimpopo, labamelwe yi-AGRI Letaba, icela Libandla laVelonkhe kutsi liphenye ngekucishelwa kwagezi lokukhulu, kutsikameteka kwemandla agezi, emavoliteji lamancane agezi kanye nekungagcinwa esimeni kusukela nga-2016 ngenca yekwehluleka kaMasipala Lomkhulu waseTzaneen (Mk. D van der Walt) – (Likomidi leLibandla laVelonkhe leteKubusa ngeKuhlanganyela neTendzabuko – Libandla laVelonkhe).",July
BILLS INTRODUCED AND TO BE REFERRED TO COMMITTEES,IMITSETFOSIVIVINYO LEYETFULIWE FUTSI LETAWENDLULISELWA KUMAKOMIDI,July
Division of Revenue Amendment Bill [B 9 - 2020] (National Assembly – sec 76).,Umtsetfosivivinyo weKwehlukaniswa kweTimali taHulumende [B 9 - 2020] (Libandla laVelonkhe – sigaba se-76).,July
