eng,xho,source
"Decision of Question on Report of Portfolio Committee on Higher Education, Science and Technology on 2019/20 First Quarter financial and service delivery performance report of Department of Higher Education and Training (Announcements, Tablings and Committee Reports, 5 December 2019, p 64).","Isigqibo soMbuzo malunga nengxelo yeKomiti yeMicimbi yeSebe lezeMfundo ePhakamileyo, ezeNzululwazi noBuchwepheshe malunga nengxelo kanyaka-mali 2019/20 engoMsebenzi weKota yokuQala yezeMali nokuhanjiswa kweenkonzo liSebe lezeMfundo ePhakamileyo noQeqesho (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 5 kweyoMnga 2019, iphepha 64).",June
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department Public Service and Administration, Entities and Public Service Commission (Announcements, Tablings and Committee Reports, 11 March 2020, p 30).","Ukuqwalaselwa kweNgxelo yeKomiti yeMicimbi yeSebe lezabaSebenzi bakaRhulumente noLawulo kuMsebenzi woNyaka-mali wowama- 2019/20 weKota yesiBini neyesiThathu: Isebe lezabaSebenzi bakaRhulumente noLawulo, amaQumrhu neKomishoni yeeNkonzo zoLuntu (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 11 kweyoKwindla 2020, iphepha 30).",June
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Statistics South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 23).","Ukuqwalaselwa kweNgxelo yeKomiti yeMicimbi yeSebe lezabaSebenzi bakaRhulumene noLawulo kuMsebenzi woNyaka-mali wowama- 2019/20 weKota yesibini neyesithathu: Isebe leeNkonzo zoLuntu noLawulo, amaQumrhu neKomishoni yeeNkonzo zoLuntu: Inkcukacha-manani eMzantsi Afrika (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 11 kweyoKwindla 2020, iphepha 23).",June
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department of Planning, Monitoring and Evaluation and Brand South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 15).","Ukuqwalaselwa kweNgxelo yeKomiti yeMicimbi yeSebe lezabaSebenzi bakaRhulumente noLawulo kuMsebenzi woNyaka-mali wowama- 2019/20 weKota yesibini neyesithathu: Isebe loCwangciso, ukuHlola nokuVavanya kunye neBrand South Africa (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti 11 kweyoKwindla 2020, iphepha 15).",June
"Consideration of Report of Portfolio Committee on Basic Education on Petition from the residents of Dryharts village, calling on the Assembly to investigate the re-opening of the Molehabangwe Middle School, submitted by Mr I S Seitlholo, MP (Announcements, Tablings and Committee Reports, 26 February 2020, p 38).","Ukuqwalaselwa kweNgxelo yeKomiti yeMicimbi yeSebe lezeMfundo ePhakamileyo emalunga noXwebhu lwezikhalazo elivela kubahlali belali i-Dryharts, apho bacela iNdlu yoWiso-mthetho ukuba ivule kwakhona isikolo iMolehabangwe Middle School, olungeniswe nguMnu I S Seitlholo, iLungu lePalamente, (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 26 kweyoMdumba 2020, iphepha 38).",June
"Consideration of Report of Portfolio Committee on Basic Education on oversight visit to Capricorn and Sekhukhune Education Districts, Limpopo Province (Announcements, Tablings and Committee Reports, 26 February 2020, p 6).","Ukuqwalaselwa kweNgxelo yeKomiti yeMicimbi yeSebe lezeMfundo esiSiseko malunga notyelelo lokuhlola kwiZithili zeMfundo zaseCapricorn nezaseSekhukhune, kwiPhondo iLimpopo (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 26 kweyoMdumba 2020, iphepha 6).",June
"Consideration of Report of Portfolio Committee on Basic Education on Submission from the Griqua People’s Heritage on the lack of a Primary School (Announcements, Tablings and Committee Reports, 11 February 2020, p 5).","Ukuqwalaselwa kweNgxelo yeKomiti yeMicimbi yeSebe leMfundo esiSiseko kweziPhakamiso ezisuka kwiLifa leMveli laBantu bamaGriqua ezingokusilela kweZikolo zamaBanga aPhantsi (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 11 kweyoMdumba 2020, iphepha 5).",June
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s performance in first quarter of 2019/20 (Announcements, Tablings and Committee Reports, 9 December 2019, p 20).","Ukuqwalaselwa kweNgxelo yeKomiti esisiGxina eDibeneyo engoLawulo lweziMali zePalamente engoMsebenzi weKota yokuQala yowama-2019/20 wePalamente yeRiphabhliki yoMzantsi Afrika (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 9 kweyoMnga 2019, iphepha 20).",June
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s 2018/19 Annual Report (Announcements, Tablings and Committee Reports, 9 December 2019, p 5).","Ukuqwalaselwa kweNgxelo yeKomiti esisiGxina eDibeneyo engoLawulo lweziMali zePalamente yeNgxelo yoNyaka yowama-2018/19 yePalamente yeRiphabhliki yoMzantsi Afrika (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 9 kweyoMnga 2019, iphepha 5).",June
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on 2018/19 Annual Reports of National Skills Fund and Sector Education and Training Authorities (Announcements, Tablings and Committee Reports, 5 December 2019, p 24).","Ukuqwalaselwa kweNgxelo yeKomiti yeMicimbi yeSebe lezeMfundo ePhakamileyo, ezeNzululwazi nobuChwepheshe yeeNgxelo zoNyaka-mali wama-2018/19 zeNgxowa-mali yeSizwe yeZakhono kunye nooGunyaziwe bamaCandelo ezeMfundo noQeqesho (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 5 kweyoMnga 2019, iphepha 24).",June
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Second Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 5 December 2019, p 4).","Ukuqwalaselwa kweNgxelo yeKomiti yeMicimbi yeSebe lezoRhwebo noShishino engoMsebenzi wezeziMali nongengowaMali weKota yeSibini yonyaka-mali wowama-2019/20 weSebe lezoRhwebo noShishino kunye nelezoPhuhliso lwezoQoqosho (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 5 kweyoMnga 2019, iphepha 4).",June
"Consideration of Report of Standing Committee on Auditor-General on Integrated Annual Report of Auditor-General for financial year 2018/19 (Announcements, Tablings and Committee Reports, 4 December 2019, p 3).","Ukuqwalaselwa kweNgxelo yeKomiti esisiGxina yoMphicothi-zincwadi- Jikelele malunga neNgxelo yoNyaka eHlangeneyo yoMphicothi-zincwadi-Jikelele kunyaka-mali wowama-2018/19 (Izaziso, iiNgxelo eziza kuthiwa thaca kunye neeNgxelo zeeKomiti, 4 kweyoMnga 2019, iphepha 3).",June
MOTIONS (Notice given previously):,IZIPHAKAMISO (Izasiso ezazingeniswe kwangaphambili),June
"See p 94-96 (Ms R C Adams, Mr S Ngcobo, Ms M S Khawula, Ms N G Adoons, Mr S L Ngcobo, Ms T Breedt, Ms T Mgweba, Mr W M Thring, Mr N L S Kwankwa, Mr M L Shelembe, Mrs E N Ntlangwini, Ms F A Masiko, Mr S H Mbuyane, Ms A S Hlongo, M.Gen O S Terblanche, Mr M G E Hendricks, Mr T S Mpanza, Mr P P Keetse, Ms R C Adams).","Jonga iphepha 94-96 (uNks R C Adams, uMnu S Ngcobo, uNks M S Khawula, uNks N G Adoons, uMnu S L Ngcobo, uNks T Breedt, uNks T Mgweba, uMnu W M Thring, uMnu N L S Kwankwa, uMnu M L Shelembe, uNksk E N Ntlangwini, uNks F A Masiko, uMnu S H Mbuyane, uNks A S Hlongo, M.Gen O S Terblanche, uMnu M G E Hendricks, uMnu T S Mpanza, uMnu P P Keetse, uNks R C Adams).",June
APPENDIXES,IZIHLOMELO,June
PETITIONS REFERRED TO COMMITTEES,AMAXWEBHU EZIKHALAZO ATHUNYELWE KWIIKOMITI,June
"Petition from the residents of Germiston, Ekurhuleni metropolitan municipality calling on the Assembly to investigate the numerous power outages (Mr M Waters) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Uxwebhu lwezikhalazo elivela kubahlali baseGermiston, umasipala ombaxa wase-Ekurhuleni ucela iNdlu ukuba iphande ukucima rhoqo kombane (uMnu M Waters) – (iKomiti yeMicimbi yeSebe leNtsebenziswano kuLawulo neMicimbi yeMveli – iNdlu yoWiso-mthetho yeSizwe).",June
"Petition from the residents of Boksburg, Ekurhuleni metropolitan municipality, calling on the Assembly to investigate the numerous power outages (Mr M Waters) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Uxwebhu lwezikhalazo elivela kubahlali baseBoksburg, umasipala ombaxa wase-Ekurhuleni ucela iNdlu ukuba iphande ukucima rhoqo kombane (uMnu M Waters) – (iKomiti yeMicimbi yeSebe leNtsebenziswano kuLawulo neMicimbi yeMveli – iNdlu yoWiso-mthetho yeSizwe).",June
"Petition from the residents of Kempton Park, calling on the Assembly to investigate chronic inadequate visible policing and shortage of vehicles at the Kempton Park police station (Mr M Waters) – (Portfolio Committee on Police – National Assembly).","Uxwebhu lwezikhalazo elivela kubahlali baseKempton Park, apho bacela iNdlu ukuba iphande ingxaki enkulu ethe gqolo yokungabonakali kwamapolisa ekuhlaleni kunye nokunqongophala kwezithuthi zamapolisa kwisikhululo samapolisa saseKempton Park (uMnu M Waters) – (iKomiti yeMicimbi yeSebe lezaMapolisa– iNdlu yoWiso-mthetho yeSizwe).",June
"Petition from the residents of Alberton, calling on the Assembly to investigate public participation and legislative compliance in the proposed housing development in Alberton (Mr D Bergman) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Uxwebhu lwezikhalazo elivela kubahlali base-Alberton, apho bacela iNdlu iphande ukuba ingaba abantu bayithathile na inxaxheba kwaye eli phulo lokwakhiwa kwezindlu e-Alberton licetywayo lisemthethweni kusini na (uMnu D Bergman) – (iKomiti yeMicimbi yeSebe leNtsebenziswano kuLawulo neMicimbi yeMveli – iNdlu yoWiso-mthetho yeSizwe).",June
"Petition from the residents of Wattville, Benoni calling on the Assembly to address the escalation of crime, including gender-based violence and violence against children, and the need for a police station in their area (Ms H Ismail) – (Portfolio Committee on Police – National Assembly).","Uxwebhu lwezikhalazo elivela kubahlali baseWattville, eBenoni apho bacela iNdlu yoWiso-mthetho ukuba ishukuxe umba wokukhula kolwaphulo-mthetho, oluquka ubundlobongela obusekelwe kwisini kunye nobundlobongela kubantwana, futhi nesidingo sesikhululo samapolisa kwindawo yabo (uMnu H Ismail) – (iKomiti yeMicimbi yeSebe lezaMapolisa – iNdlu yoWiso-mthetho yeSizwe).",June
"Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high crime rate and drugs, the provision of police kiosks and police vehicles in their area (Ms H Ismail) – (Portfolio Committee on Police – National Assembly).","Uxwebhu lwezikhalazo elivela kubahlali base-Actonville, eBenoni, apho bacela iNdlu yoWiso-mthetho ukuba iphande iqondo eliphezulu lolwaphulo-mthetho kunye neziyobisi, ukubonelela ngeevenkilana kwizikhululo zamapolisa kunye neenqwelo zamapolisa kwindawo yabo (uMnu H Ismail) – (iKomiti yeMicimbi yeSebe lezaMapolisa – iNdlu yoWiso-mthetho yeSizwe).",June
"Petition from the residents of the City of Ekurhuleni, calling on the Assembly to investigate the chronic inadequate refuse removal services in their area (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Uxwebhu lwezikhalazo elivela kubahlali besiXeko sase-Ekurhuleni, apho bacela iNdlu yoWiso-mthetho ukuba iphande iinkonzo zokuthuthwa kwenkunkuma ezingaqhubeki kakuhle kwindawo yabo (uMnu H Ismail) – (iKomiti yeMicimbi yeSebe lezoBambiswano ngoLawulo neMicimbi yeMveli – iNdlu yoWiso-mthetho yeSizwe.",June
"Petition from the residents of Kokomeng and neighbouring villages, calling on the Assembly to investigate and prioritize the re-opening of the Kokomeng police station (Mr I S Seitlholo) – (Portfolio Committee on Police – National Assembly).","Uxwebhu lwezikhalazo elivela kubahlali baseKokomeng neelali ezibangqongileyo, apho bacela iNdlu yoWiso-mthetho ukuba iphande ize ibeke phambili ukuvulwa kwakhona kwesikhululo samapolisa saseKokomeng (uMnu I S Seitlholo) – (iKomiti yeMicimbi yeSebe lezaMapolisa – iNdlu yoWiso-mthetho yeSizwe).",June
"Petition from the residents of Bredell, Pomona, Brentwood Park and Glen Marais (ward 25), City of Ekurhuleni, calling on the Assembly to investigate the collapse of the reliable supply of electricity in their areas (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Uxwebhu lwezikhalazo oluvela kubahlali baseBredell, ePomoma, eBrentwood Park kunye naseGlen Marais (kwawadi 25), kwisiXeko sase-Ekurhuleni, becela iNdlu ukuba iphande ingxaki yokufadalala kweenkqubo zokuhambisa umba kwiindawo zabo (uMnu H Ismail) - (iKomiti yeMicimbi yeSebe lezoLawulo lweNtsebenziswano neMicimbi yezeMveli – iNdlu yoWiso-mthetho yeSizwe).",June
"Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high rentals paid by tenants of council-owned flats (Ms H Ismail) – (Portfolio Committee on Human Settlements, Water and Sanitation – National Assembly).","Uxwebhu lwezikhalazo oluvela kubahlali base-Actonville, eBenoni, becala iNdlu ukuba iphandle malunga nerente ephezulu ehlawulwa ngabaqeshi beeflethi eziphantsi kolawulo lwebhunga (uMnu H Ismail) – (iKomiti yeMicimbi yeSebe lezeNtlalo yoLuntu, lezaManzi noGutyulo lwelindle – iNdlu yoWiso-mthetho yeSizwe).",June
"Petition from the residents of Ward 37, Alberton North, Ekurhuleni, calling on the Assembly to investigate the illegal occupation of stand 1/1224 number 42, Second Avenue, Alberton North (Mr D Bergman) – (Portfolio Committee on Cooperative Governance and Traditional Affairs and Portfolio Committee on Police – National Assembly).","Uxwebhu lwezikhalazo oluvela kubahlali baseWadi 37, e-Alberton North, Ekurhuleni, becela iNdlu ukuba iphande ukuhlalwa ngokungekho-mthethweni kwistandi 1/1224 nombolo 42, eSecond Avenue, e-Alberton North (uMnu D Bergman) – (iKomiti yeMicimbi yeSebe lezoLawulo lweNtsebenziswano neMicimbi yezeMveli kunye neKomiti yeMicimbi yeSebe lezaMapolisa – iNdlu yoWiso-mthetho yeSizwe).",June
BILLS REFERRED TO JOINT TAGGING MECHANISM (JTM),IMITHETHO EYILWAYO ETHUNYELWE KWINKQUBO YOKUPHAWULA YEZINDLU ZOMBINI (I-JTM),June
Upgrading of Land Tenure Rights Amendment Bill [B 6 - 2020] (National Assembly – proposed sec 76).,UMthetho-sihlomelo oYilwayo wokuPhuculwa kwaMalungelo obuNini-mhlaba [B 6 - 2020] (iNdlu yoWiso-mthetho yeSizwe – icandelo elicetywayo lama 76).,June
National Road Traffic Amendment Bill [B7-2020] (National Assembly – proposed sec 76).,UMthetho-sihlomelo oYilwayo weMithetho yeeNdlela zeSizwe [B7-2020] (iNdlu yoWiso-mthetho yeSizwe – icandelo elicetywayo lama 76).,June
Transport Appeal Tribunal Amendment Bill [B8-2020] (National Assembly – proposed sec 76).,UMthetho-sihlomelo oYilwayo weNkundla yeziBheno yezoThutho [B8-2020] (iNdlu yoWiso-mthetho yeSizwe – icandelo elicetywayo lama 76).,June
BILLS REFERRED TO COMMITTEES,IMITHETHO EYILWAYO ETHUNYELWE KWIIKOMITI,June
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,UMthetho oYilwayo weeNkundla zeMveli [B 1B – 2017] (iNdlu yoWiso-mthetho yeSizwe – icandelo lama-76) – (iKomiti eKhethekileyo yoKhuseleko noBulungisa – iBhunga leSizwe laMaphondo).,June
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75) – (Select Committee on Security and Justice – National Council of Provinces).,UMthetho oYilwayo woLwaphulo-mthetho nge-Intanethi [B 6B – 2017] (iNdlu yoWiso-mthetho yeSizwe – icandelo lama-75) – (iKomiti eKhethekileyo yoKhuseleko noBulungisa – iBhunga leSizwe laMaphondo).,June
Road Accident Benefit Scheme Bill [B 17B – 2017] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,UMthetho oYilwayo weNkqubo yeziBonelelo zeeNgozi zeNdlela [B 17B – 2017] (iNdlu yoWiso-mthetho yeSizwe – icandelo lama-75) – (iKomiti yeMicimbi yeSebe lezoThutho – iNdlu yoWiso-mthetho yeSizwe).,June
International Crimes Bill [B 37 – 2017] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,UMthetho oYilwayo woLwaphulo-mthetho lwaMazwe ngaMazwe [B 37 – 2017] (iNdlu yoWiso-mthetho yeSizwe – icandelo lama-75) – (iKomiti yeMicimbi yeSebe leeNkonzo zoBulungisa neeNkonzo zoLuleko – iNdlu yoWiso-mthetho yeSizwe).,June
"Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","UMthetho-sihlomelo oYilwayo weNkampani yeziKhululo zeeNqwelomoya [B 5B – 2018] (iNdlu yoWiso-mthetho yeSizwe – icandelo 75) – (iKomiti eKhethekileyo yezoThutho, ezabaSebenzi bakaRhulumente noLawulo, ezeMisebenzi kaRhulumente neziSeko zoPhuhliso – iBhunga leSizwe laMaphondo).",June
"Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","UMthetho-sihlomelo oYilwayo weNkampani yeeNkonzo zoLawulo zokuHamba ngeNqwelo-moya [B 6B – 2018] (iNdlu yoWiso-mthetho yeSizwe – icandelo 75) – (iKomiti eKhethekileyo yeSebe lezoThutho, elezabaSebenzi bakaRhulumente noLawulo, nelezeMisebenzi kaRhulumente neziSeko zoPhuhliso – iBhunga leSizwe laMaphondo).",June
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76) – (Select Committee on Health and Social Services – National Council of Provinces).,UMthetho—sihlomelo oYilwayo weziBonelelo zoLuntu [B 8B – 2018] (iNdlu yoWiso-mthetho – icandelo 76) – (iKomiti eKhethekileyo yezeMpilo neeNkonzo zoLuntu – iBhunga lamaPhondo leSizwe).,June
Prevention of Hate Crimes and Hate Speech Bill [B 9 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,UMthetho oYilwayo woThintelo kunye nokuLwa noLwaphulo-mthetho lweNtiyo kunye neNtetho eyiNtiyo [B 9 – 2018] (iNdlu yoWiso-mthetho yeSizwe– icandelo lama-75) – (iKomiti yeMicimbi yeSebe leeNkonzo zoBulungisa neeNkonzo zoLuleko - iNdlu yoWiso-mthetho yeSizwe).,June
Civil Union Amendment Bill [B 11B – 2018] (National Assembly – sec 75) – (Select Committee on Health and Social Services – National Council of Provinces).,UMthetho-sihlomelo oYilwayo wemiTshato yaBantu beSini Esinye [B 11B – 2018) (iNdlu yoWiso-mthetho yeSizwe – icandelo 75) – (iKomiti eKhethekileyo yezeMpilo neeNkonzo zoLuntu – iBhunga lamaPhondo leSizwe).,June
State Liability Amendment Bill [B 16 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,UMthetho-siHlomelo oYilwayo weTyala loMbuso [B 16 – 2018] (iNdlu yoWiso-mthetho yeSizwe – icandelo lama-75) – (iKomiti yeMicimbi yeSebe leeNkonzo zoBulungisa neeNkonzo zoLuleko – iNdlu yoWiso-mthetho yeSizwe).,June
"Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76) – (Select Committee on Cooperative Governance and Traditional Affairs, Water and Sanitation and Human Settlements – National Council of Provinces).","UMthetho-siHlomelo oYilwayo weeNkqubo zoMasipala: kooMasipala bamaKhaya [B 19B – 2018] (iNdlu yoWiso-mthetho – icandelo lama-76) – (iKomiti eKhethekileyo yoLawulo lweNtsebenziswano neMicimbi yezeMveli, yaManzi noGutyulo kunye nokuHlaliswa koLuntu – iBhunga leSizwe laMaphondo).",June
South African Reserve Bank Bill [B 26 – 2018] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,UMthetho oYilwayo weBhanki enguVimba yoMzantsi Afrika [B 26 – 2018] (iNdlu yoWiso-mthetho yeSizwe– icandelo lama-75) – iKomiti esisiGxina yezeziMali – iNdlu yoWiso-mthetho yeSizwe).,June
"National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76) – (Select Committee on Trade and Industry, Economic Development, Small Business Development, Tourism, Labour and Employment – National Council of Provinces).","UMthetho-siHlomelo oYilwayo weMidlalo yoNgcakazo kaZwelonke [B 27B – 2018] (iNdlu yoWiso-mthetho yeSizwe – icandelo lama-76) – (iKomiti eKhethekileyo yoRhwebo noShishino, eyezaBasebenzi kunye neNgqesho – iBhunga leSizwe laMaphondo).",June
National Health Amendment Bill [B 29 – 2018] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,UMthetho-siHlomelo oYilwayo wezeMpilo weSizwe B 29 – 2018] (iNdlu yoWiso-mthetho yeSizwe – icandelo lama-76) – (iKomiti yeMicimbi yeSebe lezeMpilo – iNdlu yoWiso-mthetho).,June
Public Finance Management Amendment Bill [B 41  2018] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,Umthetho-siHlomelo oYilwayo woLawulo lweeMali zikaRhulumente [B 41  2018] (iNdlu yoWiso-mthetho yeSizwe – icandelo lama-76) – (iKomiti esiSigxina engeMali – iNdlu yoWiso-mthetho yeSizwe).,June
"Science and Technology Laws Amendment Bill [B 42B  2018] (National Assembly – sec 75) – (Select Committee on Education and Technology, Sports, Arts and Culture – National Council of Provinces).","UMthetho-sihlomelo oYilwayo wemiThetho yezeNzululwazi nobuChwepheshe [B 42B – 2018] (iNdlu yoWiso-mthetho yeSizwe – icandelo lama-75 – (iKomiti eKhethekileyo yezeMfundo nobuChwepheshe, ezemiDlalo, ubuGcisa neNkcubeko – iBhunga leSizwe laMaphondo).",June
Civil Aviation Amendment Bill [B 44 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,UMthetho-siHlomelo oYilwayo wezoPhapho ngeeNqwelo-moya zaBantu [B 44 – 2018] (iNdlu yoWiso-mthetho yeSizwe – icandelo lama-75) – iKomiti yeMicimbi yeSebe lezoThutho – iNdlu yoWiso-mthetho yeSizwe).,June
Local Government: Municipal Systems Amendment Bill [B 2 – 2019] (National Assembly – sec 76) – (Portfolio Committee Cooperative Government and Traditional Affairs – National Assembly).,UMthetho-siHlomelo oYilwayo weeNkqubo zooMasipala: uRhulumente wamaKhaya [B 2 – 2019] (iNdlu yoWiso-mthetho yeSizwe – icandelo lama-76) – iKomiti yeMicimbi yeSebe yoLawulo lweNtsebenziswano neMicimbi yezeMveli – iNdlu yoWiso-mthetho yeSizwe).,June
National Health Insurance Bill [B 11 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,UMthetho oYilwayo we-Inshorensi yeSizwe yezeMpilo [B 11 – 2019] (iNdlu yoWiso-mthetho yeSizwe – icandelo 76) – (iKomiti yeMicimbi yeSebe lezeMpilo – iNdlu yoWiso-mthetho yeSizwe).,June
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,UMthetho-sihlomelo oYilwayo wokuHlonitshWa kwemiTshato yesiNtu [B 12 – 2019] (iNdlu yoWiso-mthetho – icandelo 76) – (iKomiti eKhethekileyo yezoKhuseleko noBulungisa – iBhunga leSizwe lamaPhondo).,June
Judicial Matters Amendment Bill [B 13B - 2019] (National Assembly – sec 75) – (Select Committee on Security and Justice - National Council of Provinces).,Umthetho-Sihlomelo oYilwayo weMicimbi yezoBulungisa [B 13B - 2019] (iNdlu yoWiso-mthetho yeSizwe – icandelo 75) – (Ikomiti eKhethekileyo engoKhuseleko noBulungisa – iBhunga leSizwe laMaphondo).,June
Independent Electricity Management Operator Bill [B 14 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Mineral Resources and Energy – National Assembly).,UMthetho oYilwayo weQumrhu loLawulo loMbane oPhehlwa ngamaQumrhu aziMeleyo [B 14 – 2019] (iNdlu yoWiso-mthetho yeSizwe – icandelo elicetywayo lama-76) – (iKomiti yeMicimbi yeSebe leziMbiwa naMandla – iNdlu yoWiso-mthetho yeSizwe).,June
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75) – (Select Committee on Security and Justice – National Council of Provinces).,UMthetho-sihlomelo oYilwayo wokuSikelwa iXesha kweMiba yezoLuntu neyezoLwaphulo-mthetho (amaTyala ezeSondo) [B 22B - 2019] (iNdlu yoWiso-mthetho yeSizwe – icandelo 75) – (iKomiti eKhethekileyo yezoKhuseleko nezoBulungisa – iBhunga leSizwe lamaPhondo).,June
Economic Regulation of Transport Bill [B 1 - 2020] (National Assembly– sec 76) – (Portfolio Committee on Transport – National Assembly).,Umthetho oYilwayo woLawulo loQoqosho lwezoThutho [B 1 - 2020] (Indlu yoWiso-mthetho yeSizwe – icandelo 76) – (iKomiti yeMicimbi yeSebe lezoThutho – iNdlu yoWiso-mthetho yeSizwe).,June
Auditing Profession Amendment Bill [B 2 - 2020] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,Umthetho-Sihlomelo oYilwayo weKhondo lezoPhicotho-zincwadi [B 2 - 2020] (iNdlu yoWiso-mthetho yeSizwe – icandelo elicetywayo 75) – (iKomiti esiSigxina yezeziMali – iNdlu yoWiso-mthetho yeSizwe).,June
Fiscal Responsibility Bill [B 5 - 2020] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,UMthetho oYilwayo wokuSetyenziswa kweMali yoMbuso ngoBunono [B 5- 2020] (iNdlu yoWiso-mthetho yeSizwe – icandelo lama-76) – (iKomiti esiSigxina yezeMali – iNdlu yoWiso-mthetho yeSizwe).,June
"Upgrading of Land Tenure Rights Amendment Bill [B 6 - 2020] (National Assembly – proposed sec 76) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly).","UMthetho-sihlomelo oYilwayo wokuPhuculwa kwaMalungelo obuNini-mhlaba [B 6 - 2020] (iNdlu yoWiso-mthetho yeSizwe – icandelo elicetywayo lama-76 – (Ikomiti yeMicimbi yeSebe lezoLimo, uHlengahlengiso loMhlaba noPhuhliso lwaMaphandle – iNdlu yoWiso-mthetho yeSizwe).",June
National Road Traffic Amendment Bill [B7-2020] (National Assembly – proposed sec 76) – (Portfolio Committee on Transport – National Assembly).,UMthetho-sihlomelo oYilwayo wemiThetho yeeNdlela zeSizwe [B7-2020] (iNdlu yoWiso-mthetho yeSizwe – icandelo elicetywayo lama 76).,June
Transport Appeal Tribunal Amendment Bill [B8-2020] (National Assembly – proposed sec 76) – (Portfolio Committee on Transport – National Assembly).,UMthetho-sihlomelo oYilwayo weNkundla yeziBheno yezoThutho [B8-2020] (iNdlu yoWiso-mthetho yeSizwe – icandelo elicetywayo lama 76).,June
BILLS PASSED BY NATIONAL ASSEMBLY AND TRANSMITTED TO NATIONAL COUNCIL OF PROVINCES FOR CONCURRENCE,IMITHETHO EYILWAYO EPHUNYEZWE YINDLU YOWISO-MTHETHO YESIZWE YAZE YATHUNYELWA KWIBHUNGA LESIZWE LAMAPHONDO UKUBA LIYIQWALASELE LIZE LIVUMELANE NAYO,June
