eng,tso,source
"Petition from the residents of Jamestown, Stellenbosch, calling on the Assembly to investigate the transfer, by Eskom, of management powers over the electricity network in Jamestown to Stellenbosch municipality (Dr L Shreiber) – (Portfolio Committee on Public Enterprises -  National Assembly).","Phethixini yo suka eka vaaki va le Jamestown, eStellenbosch, lava rhambaka Huvo ya Rixaka leswaku yi lavisisa ku hundziseriwa ka matimba ya vulawuri bya netiweke ya gezi eJamestown hi Eskom ku ya eka masipala wa Stellenbosch (Dr L Shreiber) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Mabindzu ya Mfumo – Huvo ya Rixaka).",July
"Petition from the residents of Germiston, Ekurhuleni, calling on the Assembly to investigate power outages in Germiston (Ms M Clarke) – (Portfolio Committee on Public Enterprises - National Assembly).","Phethixini yo suka eka vaaki va le Germiston, Ekurhuleni, lava rhambaka Huvo ya Rixaka leswaku yi lavisisa ku timeka ka gezi eGermiston (Manana M Clarke) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Mabindzu ya Mfumo – Huv ya Rixaka).",July
"Petition from the residents of Letsitele Town, Ward 23, Tzaneen, calling on the Assembly to ensure that the Tzaneen municipality abides by the laws, by-laws and regulations, and that it implements the prescribed environmental and applicable zoning, as well as monitor and halt all illegal activities (Ms D van der Walt) – (Portfolio Committee on Cooperative Governance and Traditional Affairs - National Assembly).","Phethixini yo suka eka vaaki va le Letsitele Town, Ward 23, Tzaneen, lava rhambaka Huvo ya Rixaka leswaku yi tiyisisa leswaku Masipala wa Tzaneen wu landzelela milawu, milawu ya doroba na swinawana, na leswaku masipala wu tirhisa mazonele ya mbangu na lama tirhaka, lu latsa na vulanguteri no herisa migingiriko yo ka y inga ri enawini (Manana D van der Walt) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Mafumele ya Ntirhisano na Timhaka ta Ndhavuko – Huvo ya rixaka).",July
"Petition from the farmers and the community of Tzaneen, Limpopo, represented by AGRI Letaba, calling on the Assembly to investigate severe electricity outages, power dips, low voltage and poor to no maintenance since 2016 as a result of the failure of the Greater Tzaneen Municipality (Ms D van der Walt) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Phethixini yo suka eka van’wamapurasi na vaaki va lezaneen, Limpopo, lava yimeriwaka hi AGRI Letaba, lava rhambaka Huvo ya Rixaka leswaku yi lavisisa ku timeka ka gezi, ku ya ehansi ka matimba ya gezi, vholuteji ya le hansi na na nhlayiso wa le hansi ku ya eka ku pfumaleka ka nhlayiso ku sukela hi 2016 leswi vangiwaka hi ku hluleka ku tirha ka Masipala wa Greater Tzaneen (Manana D van der Walt) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Mafumele ya Ntirhisano na Timhaka ta Ndhavuko – Huvo ya rixaka).",July
BILLS INTRODUCED AND TO BE REFERRED TO COMMITTEES,MILAWUMBISI LEYI TIVISIWEKE NO HUNDZISERIWEKE EKA TIKOMITI,July
Division of Revenue Amendment Bill [B 9 - 2020] (National Assembly – sec 76).,Nawumbisi wo Cinca Maavelo ya Timali ta Tiko wa [B 9 - 2020] (Huvo ya Rixaka – xiyenge xa 76).,July
Adjustments Appropriation Bill [B 10 - 2020] (National Assembly –sec 77).,Nawumbisi wa Macincelo ya Mikavelo wa [B 10 - 2020] (Huvo ya Rixaka – xiyenge xa 77).,July
BILLS REFERRED TO JOINT TAGGING MECHANISM (JTM),MILAWUMBISI LEYI HUNDZISERIWEKE EKA NDLELA YO FUNGHA YA NHLANGANELO (JTM),July
Upgrading of Land Tenure Rights Amendment Bill [B 6 - 2020] (National Assembly – proposed sec 76).,Nawumbisi wo Cinca Ku Antswisiwa ka Timfanelo ta Vun’wini bya Misava wa [B 6 – 2020] (Huvo ya Rixaka – xiyenge xa 76 lexi ringanyetiweke).,July
BILLS REFERRED TO COMMITTEES,MILAWUMBISI LEYI HUNDZISERIWEKE EKA TIKOMITI,July
"Protection of State Information Bill [B 6H – 2010] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 7) – (Portfolio Committee on Justice and Correctional Services – National Assembly).","Nawumbisi wa Ku Sirheleriwa ka Mahungu ya Tiko wa [B 6H – 2010] (Huvo ya Rixaka– xiyenge xa 75) na ku kanakana ka Presidente hi mayelana mfambelano na Vumbiwa tanihilaha wu yisiweke hakona eka yena (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 12 JKhotavuxika 2020, papila ra 7) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vululami na Vukorhokeri bya Makhotso– Huvo ya Rixaka).",July
"Liquor Products Amendment Bill [B 10B – 2016] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 2) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly).","Nawumbisi wo Cinca Swimakiwa swa Byalwa wa [B 10B – 2016] (Huvo ya Rixaka– xiyenge xa 75) na ku kanakana ka Presidente hi mayelana na mfambelano na Vumbiwa tanihilaha wu yisiweke hakona eka yena (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 12 Khotavuxika 2020, papila ra 2) - (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vurimi, Mpfuxeto wa Misava na Nhluvukiso wa Tindhawu ta le Matikoxikaya – Huvo ya Rixaka).",July
"Performers’ Protection Amendment Bill [B 24B - 2016] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 22 June 2020, p 2) – (Portfolio Committee on Trade and Industry – National Assembly).","Nawumbisi wo Cinca Ku Sirheleriwa ka Vayimbeleri wa [B24B - 2016] (Huvo ya Rixaka–xiyenge xa 75).	 [B 24B - 2016] (Huvo ya Rixaka– xiyenge xa 75) na ku kanakana ka Presidente hi mayelana mfambelano wa Nawumbisi na Vumbiwa tanihilaha wu yisiweke hakona eka yena (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 22 Khotavuxika 2020, papila ra 2) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Bindzu na Vumaki – Huvo ya Rixaka).",July
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,Nawumbisi wa Tikhoto ta Ndhavuko wa [B 1B – 2017] (Huvo ya Rixaka – xiyenge xa 76) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya Swifundzankulu ya swa Vusirheleri na Vululami – Huvo ya Rixaka ya Swifundzankulu).,July
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75) (introduced as Cybercrimes and Cybersecurity Bill [B 6 – 2017]) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Nawumbisi wa Vugevenga bya le ka Inthanete wa [B 6B – 2017] (Huvo ya Rixaka – xiyenge xa 75) (lowu tivisiweke tanihi Nawumbisi wa Vugevenga bya le ka Inthanete na vuhlayiseki bya le ka Inthanete wa [B 6 – 2017]) – Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vululami na Vukorhokeri bya Makhotso – Huvo ya Rixaka).,July
"Copyright Amendment Bill [B 13B - 2017] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 22 June 2020, p 2) – (Portfolio Committee Trade and Industry – National Assembly).","Nawumbisi wo Cinca Nsirhelelo wa Matsalwa wa [B13B - 2017] (Huvo ya Rixaka–xiyenge xa 75) na ku kanakana ka Presidente hi mayelana mfambelano wa Nawumbisi na Vumbiwa tanihilaha wu yisiweke hakona eka yena (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 22 JKhotavuxika 2020, papila ra 2) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Bindzu na Vumaki – Huvo ya Rixaka).",July
Road Accident Benefit Scheme Bill [B 17B – 2017] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Nawumbisi wa Xikimu xa Mbuyelo wa Tinghozi ta le Magondzweni wa [B 17B – 2017] (Huvo ya Rixaka – xiyenge xa 75) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vutleketli – Huvo ya Rixaka).,July
International Crimes Bill [B 37 – 2017] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Nawumbisi wa Vugevenga bya Matiko ya Misava wa [B 37 – 2017] (Huvo ya Rixaka – xiyenge xa 75) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vululami na Vukorhokeri bya Makhotso – Huvo ya Rixaka).,July
"Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Nawumbisi wo Cinca timhaka ta Khamphani ya Switichi swa Swihahampfhuka wa [B 5B – 2018] (|Huvo ya Rixaka– xiyenge xa 75)) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya Swifundzankulu ya swa Vutleketli, Mafambiselo ya Vukorhokeri bya Mfumo, Mitirho ya Mfumo na Switirhisiwankulu – Huvo ya Rixaka ya Swifundzankulu).",July
"Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Nawumbisi wo Cinca timhaka ta Khamphani ya Vukorhokeri bya Ntlimbano wa le Moyeni na Vutluti wa [B 6B – 2018] (Huvo ya Rixaka – xiyenge xa 75) - (Komiti ya Vuangameri ya Huvo ya Rixaka ya Swifundzankulu ya swa Vutleketli, Mafambiselo ya Vukorhokeri bya Mfumo, Mitirho ya Mfumo na Switirhisiwankulu – Huvo ya Rixaka ya Swifundzankulu).",July
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76) – (Select Committee on Health and Social Services – National Council of Provinces).,Nawumbisi wo Cinca swa Mpfuneto wa Vaaki wa [B 8B - 2018] (Huvo ya Rixaka – xiyenge xa 76) – (Komiti ya Vuangameri ya Huvo ya Rixaka  ya Swifundzankulu ya swa Rihanyu na Vukorhokeri bya Vaaki – Huvo ya Rixaka ya Swifundzankulu).,July
Prevention of Hate Crimes and Hate Speech Bill [B 9 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Nawumbisi wo Sivela no Herisa Vugevenga bya Rivengo na Mbulavulo wa Rivengo wa [B 9 – 2018] (Huvo ya Rixaka– xiyenge xa 75) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vululami na Vukorhokeri bya Makhotso – Huvo ya Rixaka).,July
State Liability Amendment Bill [B 16 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Nawumbisi wo Cinca Vutihlamuleri bya Mfumo wa [B 16 – 2018] (Huvo ya Rixaka– xiyenge xa 75) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vululami na Vukorhokeri bya Makhotso – Huvo ya Rixaka).,July
"Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76) – (Select Committee on Cooperative Governance and Traditional Affairs, Water and Sanitation and Human Settlements – National Council of Provinces).","Nawumbisi wo Cinca Mavumbelo ya Masipala: Mfumo wa Miganga wa [B 19B – 2018] (Huvo ya Rixaka– xiyenge xa 76) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya Swifundzankulu ya swa Mafumelo ya Ntirhisano na Timhaka ta Ndhavuko, Mati na Mbhasiso na Matshamelo ya Vanhu – Huvo ya Rixaka ya Swifundzankulu).",July
South African Reserve Bank Bill [B 26 – 2018] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,Nawumbisi wa Bangi ya Rhizevhe ya Afrika-Dzonga wa [B 26 – 2018] (Huvo ya Rixaka– xiyenge xa 75) – (Komiti ya Nkarhi Hinkwawo ya swa Timali – Huvo ya Rixaka).,July
"National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76) – (Select Committee on Trade and Industry, Economic Development, Small Business Development, Tourism, Labour and Employment – National Council of Provinces).","Nawumbisi wo Cinca timhaka to Gembula wa Rixaka wa [B 27B – 2018] (Huvo ya Rixaka– xiyenge xa 76) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya Swifundzankulu ya swa Mabindzu na Vumaki, Nhluvukiso wa swa Ikhonomi, Nhluvukiso wa Mabindzu Lamantsongo, Vupfhumba, Vatirhi na Matholelo – Huvo ya Rixaka ya Swifundzankulu).",July
National Health Amendment Bill [B 29 – 2018] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,Nawumbisi wo Cinca swa Rihanyu wa Rixaka wa [B 29 – 2018] (Huvo ya Rixaka – xiyenge xa 76) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Rihanyu – Huvo ya Rixaka).,July
Public Finance Management Amendment Bill [B 41  2018] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,Nawumbisi wo Cinca Malawulelo ya Timali ta Mfumo wa [B 41  2018] (Huvo ya Rixaka – xiyenge xa 76) – (Komiti ya Nkarhi Hinkwawo ya swa Timali – Huvo ya Rixaka).,July
Civil Aviation Amendment Bill [B 44 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Nawumbisi wo Cinca Vuhahisi bya Vaaki wa [B 44 – 2018] (Huvo ya Rixaka– xiyenge xa 75) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vutleketli – Huvo ya Rixaka).,July
Local Government: Municipal Systems Amendment Bill [B 2 – 2019] (National Assembly – sec 76) – (Portfolio Committee Cooperative Government and Traditional Affairs – National Assembly).,Nawumbisi wo Cinca Tisisiteme ta Masipala: Mfumo wa Miganga wa [B 2 – 2019] (Huvo ya Rixaka– xiyenge xa 76) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Mafumelo ya Ntirhisano na Timhaka ta Ndhavuko – Huvo ya Rixaka).,July
National Health Insurance Bill [B 11 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,Nawumbisi wa Ndzindzakhombo wa Rihanyu [B 11 - 2019] (Huvo ya Rixaka – xiyenge xa 76) – (Komiti ya Vuangameri ya Huvo ya Rixaka – Huvo ya Rixaka).,July
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,Nawumbisi wo Cinca Ku Tekeriwa Enhlokweni ka Vukati bya Ndhavuko wa [B 12 - 2019] (Huvo ya Rixaka– xiyenge xa 76).,July
Judicial Matters Amendment Bill [B 13B - 2019] (National Assembly – sec 75) – (Select Committee on Security and Justice - National Council of Provinces).,Nawumbisi wo Cinca timhaka ta Vululami wa [B 13B - 2019] (Huvo ya Rixaka – xiyenge xa 75) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya Swifundzankulu ya swa Vusirheleri na Vululami – Huvo ya Rixaka ya Swifundzankulu).,July
Independent Electricity Management Operator Bill [B 14 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Mineral Resources and Energy – National Assembly).,Nawumbisi wa Mulawuri loyi a Tiyimeleke wa Mafambiselo ya Gezi wa [B 14 - 2019] (Huvo ya Rixaka – xiyenge xa 76) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Swipfuno swa Swicelwa na Eneji – Huvo ya Rixaka).,July
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75) – (Select Committee on Security and Justice – National Council of Provinces).,Nawumbisi wo Cinca Swileriso swa Timhaka ta Vaaki na Vugevenga (Milandzu ya swa Masangu) wa [B 22B - 2019] (Huvo ya Rixaka – xiyenge xa 75) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya Swifundzankulu ya swa Vuhlayiseki na Vululami – Huvo ya Rixaka ya Swifundzankulu).,July
Economic Regulation of Transport Bill [B 1 - 2020] (National Assembly– sec 76) – (Portfolio Committee on Transport – National Assembly).,Nawumbisi wo Lawula Ikhonomi ya Vutleketli wa [B 1 - 2020] (Huvo ya Rixaka – xiyenge xa 76) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vutleketli– Huvo ya Rixaka).,July
Auditing Profession Amendment Bill [B 2 - 2020] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,Nawumbisi wo Cinca Phurofexini ya swa Nkambelatinkota wa [B 2 – 2020] (Huvo ya Rixaka– xiyenge xa 75) – (Komiti ya Nkarhi hinkwawo ya swa Timali – Huvo ya Rixaka).,July
Fiscal Responsibility Bill [B 5 - 2020] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,Nawumbisi wa Vutihlamuleri bya swa Timali wa [B 5 - 2020] (Huvo ya Rixaka – xiyenge xa 76 lexi ringanyetiweke) – (Komiti ya Nkarhi Hinkwawo ya swa Timali – Huvo ya Rixaka).,July
"Upgrading of Land Tenure Rights Amendment Bill [B 6 - 2020] (National Assembly – proposed sec 76) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly).","Nawumbisi wa ku Antswisiwa ka Timfanelo ta Vun’wini bya Misava wa [B 6 - 2020] (Huvo ya Rixaka – xiyenge xa 76 lexi ringanyetiweke) – (Komiti ya Huvo ya Rixaka ya swa Vurimi, Mpfunxeto wa Misava na Nhluvukiso wa Tindhawu ta le Matikoxikiaya – Huvo ya Rixaka).",July
National Road Traffic Amendment Bill [B 7 - 2020] (National Assembly – sec 76) – (Portfolio Committee on Transport – National Assembly).,Nawumbisi wo Cinca swa Vutleketli bya le Mapatwini wa Rixaka wa [B7-2020] (Huvo ya Rixaka – xiyenge xa 76 lexi ringanyetiweke).  (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vutleketli – Huvo ya rixaka).,July
Transport Appeal Tribunal Amendment Bill [B 8 - 2020] (National Assembly – sec 76) – (Portfolio Committee on Transport – National Assembly).,Nawumbisi wo Cinca swa Huvo yo Aphila ya swa Vutleketli wa [B 8 - 2020] (Huvo ya Rixaka – xiyenge xa 76) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vutleketli – Huvo ya Rixaka).,July
Disaster Management Tax Relief Bill [B 11 - 2020] (National Assembly – sec 77) – (Standing Committee on Finance - National Assembly).,Nawumbisi wa Xibalo xa Mphalalo xa Malawulelo ya Timhangu wa [B 11 – 2020] (Huvo ya Rixaka –xiyenge xa 77 lexi ringanyetiweke) na ku andlariwa ka Nawumbisi wa Xibalo xa Mphalalo xa Malawulelo ya Timhangu wa [B 12 – 2020] (Huvo ya Rixaka–xiyenge xa 75 lexi ringanyetiweke) – (Holobye wa swa Timali).,July
Disaster Management Tax Relief Administration Bill [B 12 - 2020] (National Assembly – sec 75) – (Standing Committee on Finance - National Assembly).,Nawumbisi wa Xibalo xa Mphalalo xa Malawulelo ya Timhangu wa [B 11 – 2020] (Huvo ya Rixaka –xiyenge xa 77 lexi ringanyetiweke) na ku andlariwa ka Nawumbisi wa Xibalo xa Mphalalo xa Malawulelo ya Timhangu wa [B 12 – 2020] (Huvo ya Rixaka–xiyenge xa 75 lexi ringanyetiweke) – (Holobye wa swa Timali),July
BILLS RETURNED TO ASSEMBLY FOR CONSIDERATION OF PRESIDENT’S RESERVATIONS,MILAWUMBISI LEYI TLHERISERIWEKE EKA HUVO YA RIXAKA LESWAKU KU TA TEKERIWA ENHLOKWENI LESWI PRESIDENTE A NGA NA KU KANAKANA EKA SWONA,July
Protection of State Information Bill [B 6H – 2010] (National Assembly – sec 75).,Nawumbisi wo Sirhelela Mahungu ya Tiko wa [B 6H – 2010] (Huvo ya Rixaka–xiyenge xa 75).,July
Liquor Products Amendment Bill [B 10B – 2016] (National Assembly – sec 75).,Nawumbisi wo Cinca Swimakiwa swa Byalwa wa [B 10B – 2016] (Huvo ya Rixaka–xiyenge xa 75).,July
Performers’ Protection Amendment Bill [B24B - 2016] (National Assembly – sec 75).,Nawumbisi wo Cinca Ku Sirheleriwa ka Vayimbeleri wa [B24B - 2016] (Huvo ya Rixaka–xiyenge xa 75).,July
Copyright Amendment Bill [B13B - 2017] (National Assembly – sec 75).,Nawumbisi wo Cinca Nsirhelelo wa Matsalwa wa [B13B - 2017] (Huvo   ya Rixaka–xiyenge xa 75).,July
"BILLS, SUBJECT TO PROPOSED AMENDMENTS, PASSED BY NATIONAL COUNCIL OF PROVINCES AND RETURNED TO NATIONAL ASSEMBLY FOR CONCURRENCE","MILAWUMBISI, LEYI KU YA HI KU CINCA LO KU RINGANYETIWEKE, YI PASISISWEKE HI HUVO YA RIXAKA YA SWIFUNDZANKULU NO TLHERISERIWA EKA HUVO YA RIXAKA LESWAKU KU VA NA MAVONELO YO FANA",July
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75) (introduced as Cybercrimes and Cybersecurity Bill [B 6 – 2017]).,Nawumbisi wa Vugevenga bya le ka Ithanete wa [B 6B – 2017] (Huvo ya Rixaka – xiyenge xa 75) (lowu tivisiweke tanihi Nawumbisi wa Vugevenga bya le ka Inthanete na vuhlayiseki bya le ka Inthanete wa [B 6 – 2017]).,July
BILLS PASSED BY NATIONAL ASSEMBLY AND TRANSMITTED TO NATIONAL COUNCIL OF PROVINCES FOR CONCURRENCE,MILAWUMBISI LEYI PASISIWEKE HI HUVO YA RIXAKA NA KU YISIWA EKA HUVO YA RIXAKA YA SWIFUNDZANKULU LESWAKU KU VA NA MAVONELO YO FANA,July
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76).,Nawumbisi wa Tikhoto ta Ndhavuko wa [B 1B – 2017] (Huvo ya Rixaka– xiyenge xa 76).,July
Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75).,Nawumbisi wo Cinca timhaka ta Khamphani ya Switichi swa Swihahampfhuka wa [B 5B – 2018] (|Huvo ya Rixaka– xiyenge xa 75).,July
Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75).,Nawumbisi wo Cinca timhaka ta Khamphani ya Vukorhokeri bya Ntlimbano wa le Moyeni na Vutluti wa [B 6B – 2018] (Huvo ya Rixaka – xiyenge xa 75).,July
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76).,Nawumbisi wo Cinca swa Mpfuneto wa Vaaki wa [B 8B - 2018] (Huvo ya Rixaka – xiyenge xa 76).,July
Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76).,Nawumbisi wo Cinca Mavumbelo ya Masipala: Mfumo wa Miganga wa [B 19B – 2018] (Huvo ya Rixaka– xiyenge xa 76).,July
National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76).,Nawumbisi wo Cinca timhaka to Gembula wa Rixaka wa [B 27B – 2018] (Huvo ya Rixaka– xiyenge xa 76).,July
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76).,Nawumbisi wo Cinca Ku Tekeriwa Enhlokweni ka Vukati bya Ndhavuko wa [B 12 - 2019] (Huvo ya Rixaka– xiyenge xa 76).,July
Judicial Matters Amendment Bill [B 13B - 2019] (National Assembly – sec 75).,Nawumbisi wo Cinca Timhaka ta swa Vululami wa [B 13B - 2019] (Huvo ya Rixaka– xiyenge xa 76).,July
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75).,Nawumbisi wo Cinca Swileriso swa Timhaka ta Vaaki na Vugevenga (Milandzu ya swa Masangu) wa [B 22B - 2019] (Huvo ya Rixaka – xiyenge xa 75).,July
INTERNATIONAL AGREEMENTS,MITWANANO YA MATIKO YA MISAVA,July
"Agreement between the Government of the Republic of South Africa and the International Centre for Genetic Engineering and Biotechnology (ICGEB) on the Establishment of an International Centre for Genetic Engineering and Biotechnology (ICGEB) Component in the Republic of South Africa (Tabled on 18 September 2019) (NA: Referred to Portfolio Committee on Higher Education, Science and Technology on 19 September 2019 - reported on 5 December 2019 – approved on 10 March 2020) (NCOP: Referred to Select Committee on Education and Technology, Sports, Arts and Culture on 19 November 2019 – reported on 26 May 2020).","Ntwanano exikarhi ka Mfumo wa Riphabliki ra Afrika-Dzonga na Senthara ya Matiko ya Tinxaka eka swa Vuinjhiniyere na  Bayotekinoloji (ICGEB) eka ku tumbuluxiwa ka Xiyenge xa Senthara ya Matiko ya Tinxaka ya Vuinjhiniyere bya Bayothekinoloji (ICGEB) eRiphabliki ra Afrika-Dzonga (Lowu andlariweke hi 18 Ndzati 2019) (NA: Lowu hundziseriweke eka Komiti ya Vuangameri ya Huvo ya Rixaka ya Dyondzo ya le Henhla, Sayense na Thekinoloji hi ti 19 Ndzati 2019 – lowu vikiweke hi ti 5 N’wendzamhala 2019 – lowu pasisiweke hi 10 Nyenyankulu 2020). (NCOP: Lowu hundziseriweke eka Komiti ya Vuangameri ya Huvo ya Rixaka ya Swifundzankulu ya swa Dyondzo na Thekinoloji, Mitlangu, Vutshila na Mfuwo hi ti 19 Hukuri 2019 – lowu vikiweke hi ti 26 Mudyaxihi 2020).",July
"Ratification of the Agreement between the Government of the Republic of India, the Government of the Federative Republic of Brazil and the Government of the Republic of South Africa on the IBSA Fund for the Alleviation of Poverty and Hunger (signed 17 October 2017) (Tabled on 18 October 2019) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 22 October 2019) (NCOP: Referred to Select Committee on Security and Justice on 24 October 2019).",Ku tiyisisiwa ka Ntwanano exikarhi ka Mfumo wa Riphabliki ra Indiya na Mfumo wa Federali wa Riphabliki ra Brazil na Mfumo wa Riphabliki ra Afrika-Dzonga hi mayelana na Nkwama wa IBSA wa ku Herisiwa ka Vusweti na Ndlala (Lowu sayiniweke hi ti 17 Nhlangula 2017) (Lowu andlariweke hi ti 18 Nhlangula 2019).  (NA: Lowu hundziseriweke eka Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vuxaka bya Matiko na Ntirhisano hi ti 22 Nhlangula 2019).  (NCOP: Lowu hundziseriweke eka Komiti ya Vuangameri ya Huvo ya Rixaka ya Swifundzankulu ya swa Vusirheleri na Vululami hi ti 24 Nhlangula 2019).,July
Agreement between the Government of the Republic of South Africa and the European Atomic Energy Community (EURATOM) for Co-operation in the Peaceful Uses of Nuclear Energy (Tabled on 14 November 2019) (NA: Referred to Portfolio Committee on Mineral Resources and Energy on 18 November 2019).,Ntwanano exikarhi ka Mfumo wa Riphabliki ra Afrika-Dzonga na Mfumo wa Europian Atomic Energy Community (EURATOM) hi mayelana na ku Tirhisana eka ku Tirhisiwa ka Eneji ya Nyutliya hi ndlela yo Rhula (Lowu andlariweke hi ti 14 Hukuri 2019). (NA: Lowu hundziseriweke eka Komiti ya Vuangameri ya Huvo ya Rixaka ya Swipfuno swa Swicelwa na Eneji hi ti 18 Hukuri 2019).,July
Treaty between the Government of the Republic of South Africa and the Government of the United Mexican States on Mutual Legal Assistance in Criminal Matters (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 9 March 2020 – reported on 29 May 2020 – approved on 17 June 2020) (NCOP: Referred to Select Committee on Security and Justice on 10 March 2020 – reported on 1 June 2020).,Ntwanano exikarhi ka Mfumo wa Riphabliki ra Afrika-Dzonga na Mfumo wa United Mexican States mayelana na ku Pfunana hi swa Nawu eka Timhaka ta Vugevenga (Lowu andlariweke hi ti 5 Nyenyankulu 2020). (NA: Lowu hundziseriweke eka Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vululami na Vukohokeri bya Makhostso hi ti 9 Nyenyankulu 2020). (NCOP: Lowu yisiweke eka Komiti ya Vuangameri ya Huvo ya Rixaka ya Swifundzankulu ya swa Vuhlayiseki na Vululami hi ti 10 Nyenyankulu 2020 – lowu vikiweke hi ti 1 Khotavuxika 2020).,July
