eng,ven,source
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75) (introduced as Cybercrimes and Cybersecurity Bill [B 6 – 2017]).,Mulayotibe wa Vhugevhenga vhu Itwaho nga Inthanethe [B 6B – 2017] (Buthano ḽa Lushaka – khet ya 75).,July
BILLS PASSED BY NATIONAL ASSEMBLY AND TRANSMITTED TO NATIONAL COUNCIL OF PROVINCES FOR CONCURRENCE,MILAYOTIBE YO PHASISWAHO NGA BUTHANO ḼA LUSHAKA YA FHIRISELWA KHA KHORO YA LUSHAKA YA MAVUNDU URI I TENDELANIWE NGAYO,July
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76).,Mulayotibe wa Khothe dza Sialala [B 1B – 2017] (Buthano ḽa Lushaka – khet ya 76).,July
Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75).,Mulayotibe wa Khwiniso ya Khamphani ya Vhukavhamabufho [B 5B – 2018] (Buthano ḽa Lushaka – khet ya 75).,July
Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75).,. Mulayotibe wa Khwiniso ya Khamphani ya Tshumelo dza Vhuendi ha Muyani na u Wana Nḓila [B 6B – 2018] (Buthano ḽa Lushaka – khet ya 75).,July
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76).,Mulayotibe wa Khwiniso ya u Ṱhaḓula kha Matshilisano [B 8B - 2018] (Buthano ḽa Lushaka – khet ya 76).,July
Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76).,Muvhuso Wapo: Mulayotibe wa Khwiniso ya Zwiṱirakhitsha zwa Masipala [B 19B – 2018] (Buthano ḽa Lushaka – khet ya 76).,July
National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76).,Mulayotibe wa Khwiniso ya u Gembula wa Lushaka [B 27B – 2018] (Buthano ḽa Lushaka – khet ya 76).,July
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76).,Mulayotibe wa Khwiniso ya u Dzhielwa Nṱha ha Mbingano dza Sialala [B 12 - 2019] (Buthano ḽa Lushaka – khet ya 76).,July
Judicial Matters Amendment Bill [B 13B - 2019] (National Assembly – sec 75).,Mulayotibe wa Khwiniso ya Mafhungo a Khaṱhulo [B 13B - 2019] (Buthano ḽa Lushaka – khet ya 75).,July
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75).,Mulayotibe wa Khwiniso ya u Fhelelwa nga Tshifhinga ha Mafhungo a Siviḽi na a Vhugevhenga (Milandu ya zwa Vhudzekani) [B 22B - 2019] (Buthano ḽa Lushaka  – khet ya 75).,July
INTERNATIONAL AGREEMENTS,THENDELANO DZA DZITSHAKA,July
"Agreement between the Government of the Republic of South Africa and the International Centre for Genetic Engineering and Biotechnology (ICGEB) on the Establishment of an International Centre for Genetic Engineering and Biotechnology (ICGEB) Component in the Republic of South Africa (Tabled on 18 September 2019) (NA: Referred to Portfolio Committee on Higher Education, Science and Technology on 19 September 2019 - reported on 5 December 2019 – approved on 10 March 2020) (NCOP: Referred to Select Committee on Education and Technology, Sports, Arts and Culture on 19 November 2019 – reported on 26 May 2020).","Thendelano vhukati ha Muvhuso wa Riphabuḽiki ya Afrika Tshipembe na Senthara ya Dzitshaka ya zwa Vhuinzhiniere ha Dzhenetiki na Bayothekhinoḽodzhi (ICGEB) nga ha u Thomiwa ha Tshipiḓa tsha Tshiimiswa tsha Senthara ya Dzitshaka ya zwa Vhuinzhiniere ha Dzhenetiki na Bayothekhinoḽodzhi (ICGEB) kha Riphabuḽiki ya Afrika Tshipembe (Yo swikiswa ṱafulani nga ḽa 18 Khubvumedzi 2019). (NA: Ya fhiriselwa kha Komiti ya Phothifoḽio nga ha Pfunzo ya Nṱha, Saintsi na Thekhinoḽodzhi nga ḽa 19 Khubvumedzi 2019 – ya vhigwa ngayo nga ḽa 5 Nyendavhusiku 2019 – ya themendelwa nga ḽa  10 Ṱhafamuhwe 2020) (NCOP: Ya Fhiriselwa kha Komiti ya NCOP nga ha Pfunzo na Thekhinoḽodzhi, Mitambo, Vhutsila na Mvelele nga ḽa 19 Lara 2019 – yo vhigiwa nga ḽa 26 Shundunthule 2020).",July
"Ratification of the Agreement between the Government of the Republic of India, the Government of the Federative Republic of Brazil and the Government of the Republic of South Africa on the IBSA Fund for the Alleviation of Poverty and Hunger (signed 17 October 2017) (Tabled on 18 October 2019) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 22 October 2019) (NCOP: Referred to Select Committee on Security and Justice on 24 October 2019).","2. Khwaṱhisedzo ya Thendelano vhukati ha Muvhuso wa Riphabuḽiki ya India, Muvhuso wa zwa Federaḽa wa Riphabuḽiki ya Brazil na Muvhuso wa Riphabuḽiki ya Afrika Tshipembe kha Tshikwama tsha IBSA tsha Phungudzo ya Vhushai na Nḓala (yo sainwa nga ḽa 17 Tshimedzi 2017) (Yo swikiswa ṱafulani nga ḽa 18 Tshimedzi 2019) (NA: Ya fhiriselwa kha Komiti ya Phothifoḽio nga ha Vhushaka ha Dzitshaka na Vhushumisani nga ḽa 22 Tshimedzi 2019) (NCOP: Ya fhiriselwa kha Komiti ya NCOP nga ha Tsireledzo na Vhulamukanyi nga ḽa 24 Tshimedzi 2019).",July
Agreement between the Government of the Republic of South Africa and the European Atomic Energy Community (EURATOM) for Co-operation in the Peaceful Uses of Nuclear Energy (Tabled on 14 November 2019) (NA: Referred to Portfolio Committee on Mineral Resources and Energy on 18 November 2019).,3. Thendelano vhukati ha Muvhuso wa Riphabuḽiki ya Afrika Tshipembe na European Atomic Energy Community (EURATOM) ya Vhushumisani kha u Shumisa nga Mulalo ha Fulufulu ḽa Nuklia (Yo swikiswa ṱafulani nga ḽa 14 Lara 2019) (NA:  Ya fhiriselwa kha Komiti ya Phothifoḽio nga ha Zwiko zwa Minerala na Fulufulu nga ḽa 18 Lara 2019).,July
Treaty between the Government of the Republic of South Africa and the Government of the United Mexican States on Mutual Legal Assistance in Criminal Matters (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 9 March 2020 – reported on 29 May 2020 – approved on 17 June 2020) (NCOP: Referred to Select Committee on Security and Justice on 10 March 2020 – reported on 1 June 2020).,4.  Thendelano vhukati ha Muvhuso wa Riphabuḽiki ya Afrika Tshipembe na Muvhuso wa United Mexican States nga ha Thuso ya Mulayo wa Vhugevhenga kha Masia Oṱhe (Yo Swikiswa Ṱafulani nga ḽa 5 Ṱhafamuhwe 2020). (NA: Ya fhiriselwa kha Komiti ya Phothifoḽio nga ha Vhulamukanyi na Tshumelo dza Vhululamisi nga ḽa 9 Ṱhafamuhwe 2020 – ya vhigiwa nga ḽa 29 Shundunthule 2020 – ya themendelwa nga ḽa 17 Fulwi 2020) (NCOP: Wa fhiriselwa kha Komiti ya NCOP nga ha Tsireledzo na Vhulamukanyi nga ḽa 10 Ṱhafamuhwe 2020 – yo vhigiwa nga ḽa 1 Fulwi  2020).,July
Treaty between the Government of the Republic of South Africa and the Government of the United Mexican States on Extradition (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 9 March 2020 – reported on 29 May 202 0– approved on 17 June 2020) (NCOP: Referred to Select Committee on Security and Justice on 10 March 2020 – reported on 1 June 2020).,5. Thendelano vhukati ha Muvhuso wa Riphabuḽiki ya Afrika Tshipembe na Muvhuso wa United Mexican States nga ha U isa Tshigevhenga kha shango ḽe tsha tshinya hone (Yo Swikiswa Ṱafulani nga ḽa 5 Ṱhafamuhwe 2020) (NA: Ya fhiriselwa kha Komiti ya Phothifoḽio nga ha Vhulamukanyi na Tshumelo dza Vhululamisi nga ḽa 9 Ṱhafamuhwe 2020 – yo vhigiwa nga ḽa 29 Shundunthule 2020 – ya themendelwa nga ḽa 17 Fulwi 2020) (NCOP: Ya fhiriselwa kha Komiti ya NCOP nga ha Tsireledzo na Vhulamukanyi nga ḽa 10 Ṱhafamuhwe 2020 – yo vhigiwa nga ḽa 1 Fulwi 2020).,July
African Charter on Statistics (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Public Service and Administration on 9 March 2020).,6. Tshata ya Afrika nga ha Dzimbalombalo (Yo Swikiswa Ṱafulani nga ḽa 5 Ṱhafamuhwe 2020) (NA: Ya fhiriselwa kha Komiti ya Phothifoḽio nga ha Tshumelo ya Tshitshavha na Ndaulo nga ḽa 9 Ṱhafamuhwe 2020).,July
Treaty of Amity and Cooperation (TAC) in South East Asia (Tabled on 18 March 2020) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 26 March 2020 – reported on 11 June 2020 – approved on 17 June 2020)(NCOP: Referred to Select Committee on Security and Justice on 29 June 2020) .,7. Thendelano ya Vhukonani na Vhushumisani (TAC) ngei Tshipembe Vhubvaḓuvha ha Asia (Yo swikiswa ṱafulani nga ḽa 18 Ṱhafamuhwe 2020) (NA: Yo fhiriselwa  kha Komiti ya Phothifoḽio nga ha Vhushaka ha Dzitshaka na Vhushumisani nga ḽa 26 Ṱhafamuhwe 2020 – ya vhigiwa ngayo nga ḽa 11 Fulwi 2020 – ya themendelwa nga ḽa 17 Fulwi 2020) (NCOP: Ya fhiriselwa kha Komiti ya NCOP  nga ha Tsireledzo na Vhulamukanyi nga ḽa 29 Fulwi 2020).,July
MOTIONS:,MAKUMEDZWA:,July
Draft resolution (Chief Whip of the Majority Party): That the House designates Dr M Q Ndlozi to replace Mr G A Gardee on the Magistrates Commission in terms of section 3(1)(a)(x) of the Magistrates Act (No 90 of 1993).,Mvetomveto ya ḽikumedzwa ḽi songo khunyeledzwaho (Tshimebi Tshihulwane tsha Ḽihoro Ḽivhusi): Uri Nnḓu i thole Vho Dokotela M Q Ndlozi u dzhena vhudzuloni ha Vho G A Gardee kha Khomishini ya Madzhisiṱiraṱa u ya nga khethekanyo ya 3(1)(a)(x) ya Mulayo wa Madzhisiṱiraṱa (No 90 wa 1993).,July
"Draft resolution (Chief Whip of the Majority Party): That the House suspends Rule 290(2)(a), which provides inter alia that the debate on the Second Reading of the Bill may not commence before at least three Assembly working days have elapsed since the committee’s report was tabled, for the purposes of conducting the Second Reading today on the Division of Revenue Amendment Bill [B 9 - 2020] (National Assembly – sec 76).","Mvetomveto ya ḽikumedzwa ḽi songo khunyeledzwaho (Tshimebi Tshihulwane tsha Ḽihoro Ḽivhusi): Uri Nnḓu i vhe yo imisa Mulayo wa  290(2)(a), une wa ṋetshedza, vhukati ha zwiṅwe, uri khanedzano nga ha U vhaliwa ha Vhuvhili ha Mulayotibe i songo thoma phanḓa ha musi maḓuvha a swikaho mararu a u shuma a Buthano o fhira u bva tshe muvhigo wa komiti wa swikiswa ṱafulani, u itela u tshimbidza U vhaliwa ha Vhuvhili ṋamusi kha Mulayotibe wa Khwiniso ya Khethekanyo ya Mbuelo [B 9 - 2020] (Buthano ḽa Lushaka – khet ya 76).",July
ORDERS OF THE DAY:,MITEVHE YA ḒUVHA:,July
"Consideration of Report of Standing Committee on Appropriations on Division of Revenue Amendment Bill [B 9 - 2020] (Announcements, Tablings and Committee Reports, 14 July 2020, p 4).","U vhalululwa ha Muvhigo wa Komiti ya Tshoṱhe nga ha Mikovho kha Mulayotibe wa Khwiniso ya Khethekanyo ya Mbuelo [B 9 - 2020] (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 14 Fulwana 2020, s ḽa 4).",July
Second Reading debate – Division of Revenue Amendment Bill [B 9 - 2020] (National Assembly – sec 76) – (Minister of Finance).,U vhaliwa ha Vhuvhili – Mulayotibe wa Khwiniso ya Khethekanyo ya Mbuelo [B 9 - 2020] (Buthano ḽa Lushaka – khet ya 76) – (Minista wa Gwama).,July
FURTHER BUSINESS,MAṄWE MAFHUNGO,July
ORDERS OF THE DAY:,MITEVHE YA ḒUVHA:,July
"Consideration of Report of Portfolio Committee on Mineral Resources on Special Adjusted Budget Vote No 34: Department of Mineral Resources and Energy (Announcements, Tablings and Committee Reports, 14 July 2020, p 24).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Zwiko zwa Minerala kha Voutu ya 34 ya Mugaganyagwama wo Dzudzanyiwaho wo Khetheaho: Muhasho wa Zwiko zwa Minerala na Fulufulu (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 14 Fulwana 2020, s ḽa 24).",July
"Consideration of Report of Portfolio Committee on Police on Unsolicited petition on Re-enlistment of former Police forum members into Police Service (Mr M Qongqo) (Announcements, Tablings and Committee Reports, 26 June 2020, p 20).",". U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Mapholisa nga Phethishini i songo humbelwaho nga ha U vhuedzedzwa hafhu ha miraḓo ya foramu ya Mapholisa ya kale kha Tshumelo ya Mapholisa (Vho M Qongqo) (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 26 Fulwi 2020, s ḽa 20).",July
"Consideration of Report of Portfolio Committee on Police on Petition from the residents of Wattville, Benoni calling on the Assembly to address the escalation of crime, including gender-based violence and violence against children, and the need for a police station in their area (submitted by Ms H Ismail, MP) and Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high crime rate and drugs, the provision of police kiosks and police vehicles in their area (submitted by Ms H Ismail, MP) (Announcements, Tablings and Committee Reports, 26 June 2020, p 15).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Mapholisa nga Phethishini i bvaho kha vhadzuli vha Wattville, Benoni vha itaho khuwelelo kha Buthano uri ḽi tandulule vhugevhenga vhu khou ṋaṋaho, hu tshi katelwa na khakhathi dza mbeu na khakhathi dzi itelwaho vhana, na ṱhoḓea ya tshiṱitshi tsha mapholisa vhuponi uho (yo rumelwa nga Vho H Ismail) Phethishini i bvaho kha vhadzuli vha Actonville, Benoni vha itaho khuwelelo kha Buthano uri ḽi ṱoḓisise phimo ya vhugevhenga na zwidzidzivhadzi i re nṱha, ṋetshedzo ya dzikiosiki dza mapholisa na mimoḓoro ya mapholisa vhuponi uho (yo rumelwa nga Vho H Ismail MP) (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 26 Fulwi 2020, s ḽa 15).",July
"Consideration of Report of Portfolio Committee on Police on Petition of Mr Cornelius Basson (Announcements, Tablings and Committee Reports, 26 June 2020, p 10).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Mapholisa nga Phethishini ya Vho Cornelius Basson (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 26 Fulwi 2020, s ḽa 10).",July
"Consideration of Report of Portfolio Committee on Police on Application for Firearm Amnesty declaration (Announcements, Tablings and Committee Reports, 26 June 2020, p 9).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Mapholisa nga mulevho wa Khumbelo ya Khangwelo ya Zwiṱhavhane ((Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 26 Fulwi 2020, s ḽa 9).",July
"Consideration of Report of Portfolio Committee on Police on Petition from the residents of Kempton Park, calling on the Assembly to investigate chronic inadequate visible policing and shortage of vehicles at the Kempton Park police station (submitted by Mr M Waters, MP) (Announcements, Tablings and Committee Reports, 26 June 2020, p 4).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Mapholisa kha Phethishini i bvaho kha vhadzuli vha Kempton Park, vha itaho khuwelelo kha Buthano uri ḽi ṱoḓisise u vhonala ha mapholisa hu songo linganaho tshifhinga tshoṱhe na u ṱahela ha zwiendedzi tshiṱitshini tsha mapholisa tsha Kempton Park (yo rumelwa nga Vho Waters, MP) (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 26 Fulwi 2020, s ḽa 4).",July
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s fourth quarter financial and non-financial performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 25 June 2020, p 5).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Mbambadzo na Nḓowetshumo nga kushumele kwa masheleni na ku si kwa masheleni zwa kotara ya vhuṋa ya ṅwaha ya muvhalelano wa 2019/20 wa Mihasho ya Mbambadzo na Nḓowetshumo na wa Mveledziso ya Ikonomi (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 25 Fulwi 2020, s ḽa 5).",July
"Consideration of Report of Portfolio Committee on Trade and Industry on Oversight visit to Gauteng (Announcements, Tablings and Committee Reports, 23 June 2020, p 17).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Mbambadzo na Nḓowetshumo nga madalo a Vhulavhelesi ngei Gauteng (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 23 Fulwi 2020, s ḽa 17).",July
"Consideration of Report of Portfolio Committee on Trade and Industry on Oversight visit to Western Cape (Announcements, Tablings and Committee Reports, 23 June 2020, p 4).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Mbambadzo na Nḓowetshumo nga madalo a Vhulavhelesi ngei Western Cape (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 23 Fulwi 2020, s ḽa 4)).",July
"Consideration of Report of Joint Standing Committee on Defence on Letters from the President on Employment of South African National Defence Force in Mozambique Channel, Democratic Republic of Congo, to Wuhan City in Hubei Province of People’s Republic of China, and in support of South African Police Service and other State Departments (Announcements, Tablings and Committee Reports, 19 June 2020, p 3).","U vhalululwa ha Muvhigo wa Komiti ya Tshoṱhe yo Ṱanganelaho nga ha Vhupileli nga Marifhi a bvaho kha Muphuresidennde nga Mushumo wa Mmbi ya Vhupileli ya Afrika Tshipembe ngei kha Mozambique Channel, Democratic Republic of Congo, u ya Ḓoroboni ya Wuhan ngei Vunduni ḽa Hubei ḽa People’s Republic of China, na u tikedza vha Tshumelo ya Mapholisa ya Africa Tshipembe na miṅwe Mihasho ya Muvhuso (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 19 Fulwi 2020, s ḽa 3).",July
"Consideration of Report of Portfolio Committee on Employment and Labour on Second Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcements, Tablings and Committee Reports, 18 June 2020, p 120).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha u Thola na Mishumo nga Muvhigo wa Kotara ya Vhuvhili malugana na kushumele kwa Muhasho wa u Thola na Mishumo na zwiimiswa kha u swikela zwipikwa zwa tshiṱirathedzhi zwa 2019/20 (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 18 Fulwi 2020, s ḽa 120).",July
"Consideration of Report of Portfolio Committee on Employment and Labour on First Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcements, Tablings and Committee Reports, 18 June 2020, p 81).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha u Tholiwa na Mishumo nga Muvhigo wa Kotara ya u Thoma malugana na kushumele kwa Muhasho wa u Tholiwa na Mishumo na zwiimiswa kha u swikela zwipikwa zwa tshiṱirathedzhi zwa 2019/20 (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 18 Fulwi 2020, s ḽa 81).",July
"Consideration of Report of Portfolio Committee on Employment and Labour on Third Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2018/19 (Announcements, Tablings and Committee Reports, 18 June 2020, p 12).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha u Tholiwa na Mishumo nga Muvhigo wa Kotara ya Vhuraru malugana na kushumele kwa Muhasho wa u Tholiwa na Mishumo na zwiimiswa kha u swikela zwipikwa zwa tshiṱirathedzhi zwa 2018/19 (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 18 Fulwi 2020, s ḽa 12).",July
"Consideration of Report of Portfolio Committee on Employment and Labour on Oversight visit to Compensation Fund Head-Quarters (Announcements, Tablings and Committee Reports, 18 June 2020, p 3).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha u Tholiwa na Mishumo nga madalo a Vhulavhelesi kha Ofisi Khulwane dza Tshikwama tsha Ndiliso (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 18 Fulwi 2020, s ḽa 3).",July
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Third Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 19 May 2020, p 3).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Mbambadzo na Nḓowetshumo nga Kushumele  kwa Masheleni na ku si kwa Masheleni zwa Kotara ya Vhuraru ya ṅwaha wa muvhalelano wa 2019/20 wa Mihasho ya Mbambadzo na Nḓowetshumo na wa Mveledziso ya Ikonomi (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 19 Shundunthule 2020, s ḽa 3).",July
"Consideration of Report of Portfolio Committee on International Relations and Cooperation on Oversight visit on pilot project for acquisition of office accommodation for South African Permanent Mission to United Nations and Consulate-General in New York, United States of America (Announcements, Tablings and Committee Reports, 16 March 2020, p 11).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Vhushaka ha Dzitshaka na Vhushumisani nga madalo a  kha thandela ya u thoma ya u wanwa ha ofisi ya vhudzulo ya Muambasada wa Tshoṱhe wa Afrika Tshipembe kha Vhuthihi ha Dzitshaka na Muimeleli Muhulwane ngei New York, United States of America (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 16 Ṱhafamuhwe 2020, s ḽa 11).",July
"Decision of Question on Report of Portfolio Committee on Higher Education, Science and Technology on 2019/20 First Quarter financial and service delivery performance report of Department of Higher Education and Training (Announcements, Tablings and Committee Reports, 5 December 2019, p 64).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Pfunzo ya Nṱha, Saintsi na Thekhinoḽodzhi kha muvhigo wa Mashumele a nḓisedzo ya tshumelo na zwa masheleni a Kotara ya U thoma ya 2019/20 a Muhasho wa Pfunzo na Vhupfumbudzi (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 5 Nyendavhusiku 2019, s ḽa 64).",July
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department Public Service and Administration, Entities and Public Service Commission (Announcements, Tablings and Committee Reports, 11 March 2020, p 30).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Tshumelo ya Tshitshavha na Ndaulo nga mashumele a kotara ya Vhuvhili na ya Vhuraru a ṅwaha wa muvhalelano wa 2019/20: Muhasho wa Tshumelo ya Tshitshavha na Ndaulo, Zwiimiswa na Khomishini ya Tshumelo ya Tshitshavha (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 11 Ṱhafamuhwe 2020, s ḽa 30).",July
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Statistics South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 23).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Tshumelo ya Tshitshavha na Ndaulo nga mashumele a kotara ya Vhuvhili na ya Vhuraru a ṅwaha wa muvhalelano wa 2019/20: Vha Dzimbalombalo vha Afrika Tshipembe (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 11 Ṱhafamuhwe 2020, s ḽa 23).",July
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department of Planning, Monitoring and Evaluation and Brand South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 15).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Tshumelo ya Tshitshavha na Ndaulo nga mashumele a kotara ya Vhuvhili na ya Vhuraru a ṅwaha wa muvhalelano wa 2019/20: Muhasho wa Vhupulani, u Vhea Iṱo na u Ela na Dzina ḽa u Vhambadza ḽa Afrika Tshipembe (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 11 Ṱhafamuhwe 2020, s ḽa 15).",July
"Consideration of Report of Portfolio Committee on Basic Education on oversight visit to Capricorn and Sekhukhune Education Districts, Limpopo Province (Announcements, Tablings and Committee Reports, 26 February 2020, p 6).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Pfunzo ya Mutheo nga madalo a vhulavhelesi Zwiṱirikini zwa Pfunzo zwa Capricorn na Sekhukhune, Vunduni ḽa Limpopo (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 26 Luhuhi 2020, s ḽa 6).",July
"Consideration of Report of Portfolio Committee on Basic Education on Submission from the Griqua People’s Heritage on the lack of a Primary School (Announcements, Tablings and Committee Reports, 11 February 2020, p 5).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Pfunzo ya Mutheo nga ha Ḽikumedzwa ḽi bvaho kha Vhufa ha Vhathu vha Griqua kha u sa vha hone ha Tshikolo tsha Phuraimari (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 11 Luhuhi 2020, s ḽa 5).",July
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s performance in first quarter of 2019/20 (Announcements, Tablings and Committee Reports, 9 December 2019, p 20).","23. U vhalululwa ha Muvhigo wa Komiti ya Tshoṱhe yo Ṱanganelaho nga ha Ndangulo ya Masheleni a Phalamennde kha Mashumele a Phalamennde ya Riphabuḽiki ya Afrika Tshipembe kha kotara ya u thoma ya 2019/20 (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 9 Nyendavhusiku 2019, s ḽa 20).",July
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s 2018/19 Annual Report (Announcements, Tablings and Committee Reports, 9 December 2019, p 5).","24. U vhalululwa ha Muvhigo wa Komiti ya Tshoṱhe yo Ṱanganelaho nga ha Ndangulo ya Masheleni a Phalamennde kha Muvhigo wa Ṅwaha wa 2018/19 wa Phalamennde ya Riphabuḽiki ya Afrika Tshipembe (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 9 Nyendavhusiku 2019, s ḽa 5).",July
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on 2018/19 Annual Reports of National Skills Fund and Sector Education and Training Authorities (Announcements, Tablings and Committee Reports, 5 December 2019, p 24).","25. U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Pfunzo ya Nṱha, Saintsi na Thekhinoḽodzhi kha Mivhigo ya Ṅwaha wa 2018/19 wa Tshikwama tsha Zwikili tsha Lushaka na Maanḓalanga a Sekhithara ya Pfunzo na Vhupfumbudzi (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 5 Nyendavhusiku 2019, s ḽa 24).",July
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Second Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 5 December 2019, p 4).","26. U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Mbambadzo na Nḓowetshumo kha Mihasho ya Mbambadzo na Nḓowetshumo na kwa Mveledziso ya Ikonomi na Kushumele Ku si kwa Masheleni na zwa Masheleni kha Kotara ya Vhuvhili ya ṅwaha wa muvhalelano wa 2019/20 (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 5 Nyendavhusiku 2019, s ḽa 4).",July
