eng,nbl,source
"Consideration of Report of Portfolio Committee on Public Enterprises on Adjustment Allocations of Budget Vote 10: Public Enterprises (Announcements, Tablings and Committee Reports, 17 July 2020, p 98).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezamaBubulo womPhakathi mayelana nokwAbiwa kwesiKhwezelelo seVowudi Ye 10: amaBubulo womPhakathi (iiMemezelo, iZethulo nemiBiko yeKomidi, ikh 98).",July
"Consideration of Report of Portfolio Committee on Trade and Industry on Implications of Adjustments Appropriation Bill [B10-2020] on Budget Vote 39: Trade, Industry and Competition (Announcements, Tablings and Committee Reports, 17 July 2020, p 63).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezeRhwebo namaBubulo mayelana nemiThelela yesiKhwezelelo somThethomlingwa wokwAbiwa kweeMali [i-B10-2020] malungana neVowudi yesAbelomali yama 39: iRhebo, amaBubulo nokuPhalisana (iiMemezelo, iZethulo nemiBiko yeKomidi, 17 Velabahlinze 2020, ikh 63).",July
"Consideration of Report of Portfolio Committee on Small Business Development on Adjustment Budget Vote 36 of Department of Small Business Development for financial year 2020/21 (Announcements, Tablings and Committee Reports, 17 July 2020, p 54).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezokuThuthukiswa kwamaBubulo amaNcane mayelana nesiKhwezelelo seVowudi yesAbelomali Yama 36 yomNyango wokuThuthukiswa kwamaBubulo amaNcane yomnyaka ween-2020/21 (iiMemezelo, iZethulo nemiBiko yeKomidi, 17 Velabahlinze 2020, ikh 54).",July
"Consideration of Report of Portfolio Committee on Public Service and Administration on Revised Adjustment Strategic Plan 2019/20—2023/24, Annual Performance Plan 2020/21 and Budget Vote 12: Public Service Commission (Announcements, Tablings and Committee Reports, 17 July 2020, p 46).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezomsebenzi womPhakathi nokuPhatha mayelana naMano wokuSebenza wesiKhwezelelo esiBuyekeziweko wangomnyaka ween-2019/20 – 2023/24, aMano wokuSebenza womNyaka wangomnyaka weeen-2020/21 neVowudi yesAbelomali Ye 12: iKomitjhini yomSebenzi womPhakathi (iiMemezelo, iZethulo nemiBiko yeKomidi, 17 Velabahlinze 2020, ikh 46).",July
"Consideration of Report of Portfolio Committee on Public Service and Administration on Revised Adjustment Strategic Plan 2019/20—2023/24, Annual Performance Plan 2020/21 and Budget Vote 7: National School of Government (Announcements, Tablings and Committee Reports, 17 July 2020, p 39).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezomSebenzi womPhakathi nokuPhatha mayelana naMano wokuSebenza wesiKhwezelelo esiBuyekeziweko sangomnyaka ween-2019/20 – 2023/24, naMano wokuSebenza womNyaka ween-2020/21 neVowudi yesAbelomali Ye 7: umKhandlu oLawula iinKolo weNarha (iiMemezelo, iZethulo nemiBiko yeKomidi, 17 Velabahlinze 2020, ikh 39).",July
"Consideration of Report of Portfolio Committee on Public Service and Administration on Revised Adjustment Strategic Plan 2019/20—2023/24, Annual Performance Plan 2020/21 and Budget Vote 9: Department of Planning, Monitoring and Evaluation (Announcements, Tablings and Committee Reports, 17 July 2020, p 26).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezomSebenzi womPhakathi nokuPhatha mayelana naMano wokuSebenza wesiKhwezelelo esiBuyekeziweko sangomnyaka ween-2019/20 – 2023/24, naMano wokuSebenza womNyaka ween-2020/21 neVowudi yesAbelomali Ye 9: umNyango wezokuHlela, ukuTjhejisisa nokuHlaziya (iiMemezelo, iZethulo nemiBiko yeKomidi, 17 Velabahlinze 2020, ikh 26).",July
"Consideration of Report of Portfolio Committee on Public Service and Administration on Revised Adjustment Strategic Plan 2019/20—2023/24, Annual Performance Plan 2020/21 and Budget Vote 11: Department of Public Service and Administration (Announcements, Tablings and Committee Reports, 17 July 2020, p 15).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezomSebenzi womPhakathi nokuPhatha mayelana naMano wokuSebenza wesiKhwezelelo esiBuyekeziweko sangomnyaka ween-2019/20 – 2023/24, naMano wokuSebenza womNyaka ween-2020/21 neVowudi yesAbelomali Ye 11: umNyango wezomSebenzi womPhakathi nokuPhatha (iiMemezelo, iZethulo nemiBiko yeKomidi, 17 Velabahlinze 2020, ikh 15).",July
"Consideration of Report of Portfolio Committee on Public Service and Administration on Revised Adjustment Strategic Plan 2019/20—2023/24, Annual Performance Plan 2020/21 and Budget Vote 14 of Statistics South Africa (Announcements, Tablings and Committee Reports, 17 July 2020, p 4).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezomSebenzi womPhakathi nokuPhatha mayelana naMano wokuSebenza wesiKhwezelelo esiBuyekeziweko sangomnyaka ween-2019/20 – 2023/24, naMano wokuSebenza womNyaka ween-2020/21 neVowudi yesAbelomali Ye 14 yeZiko lemBalobalo leSewula Afrika (iiMemezelo, iZethulo nemiBiko yeKomidi, 17 Velabahlinze 2020, ikh 4).",July
"Consideration of Report of Portfolio Committee on Tourism on Adjusted Budget Vote 38: Tourism (Announcements, Tablings and Committee Reports, 16 July 2020, p 84).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezeVakatjhobukelo mayelana neVowudi yesAbelomali eKhwezelelweko Yama 38: iVakatjhobukelo (iiMemezelo, iZethulo nemiBiko yeKomidi, 16 Velabahlinze 2020, ikh 84).",July
"Consideration of Report of Portfolio Committee on Social Development on Revised Budget Vote 19, Revised Annual Performance Plans of Department of Social Development and entities for 2020/21 (Announcements, Tablings and Committee Reports, 16 July 2020, p 68).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezokuThuthukiswa zeHlalakuhle mayelana neVowudi yesAbelomali eBuyekeziweko Ye 19, aMano wokuSebenza womNyaka aBuyekezeweko womNyango wezokuThuthukiswa zeHlalakuhle namaBubulo womBuso womnyaka ween-2020/21 (iiMemezelo, iZethulo nemiBiko yeKomidi, 16 Velabahlinze 2020, ikh 68).",July
"Consideration of Report of Portfolio Committee on Environment, Forestry and Fisheries on Revised amendments to Annual Performance Plan of Department of Environment, Forestry and Fisheries for 2020/21 (Announcements, Tablings and Committee Reports, 16 July 2020, p 55).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezeMvelo, amaHlathi nokuThiya mayelana nesikhibelelo esiBuyekeziweko  saMano wokuSebenza womNyaka womNyango wezemVelo, amaHlathi nokuThiya sangomnyaka ween-2020/21 (iiMemezelo, iZethulo nemiBiko yeKomidi, 16 Velabahlinze 2020, ikh 55).",July
"Consideration of Report of Standing Committee on Finance on Special Adjustments Budget Vote 8: National Treasury (Announcements, Tablings and Committee Reports, 16 July 2020, p 48).","Ukutjhejwa komBiko weKomidi yasaFuthi yesiBethamthetho seNarha yezeeMali mayelana neVowudi yesAbelomali eKhathekileko eKhwezelelweko Yo 8: mNyango wezeeMali (iiMemezelo, iZethulo nemiBiko yeKomidi, 16 Velabahlinze 2020, ikh 48).",July
"Consideration of Report of Portfolio Committee on Health on Adjusted Budget Vote 18 of Department of Health (Announcements, Tablings and Committee Reports, 16 July 2020, p 41).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezamaPhilo mayelana neVowudi yesAbelomali eKhwezelelweko Ye 18 yomNyango wezamaPhilo (iiMemezelo, iZethulo nemiBiko yeKomidi, 16 Velabahlinze 2020, ikh 41).",July
"Consideration of Report of Portfolio Committee on Defence and Military Veterans on 2020 Special Adjustments Budget for Vote 26 Military Veterans (Announcements, Tablings and Committee Reports, 16 July 2020, p 35).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezokuVikela naboMakekere bamaJoni mayelana neVowudi yesAbelomali eKhwezelelweko eKhethekileko Yama 26 yaboMakekekre bamaJoni (iiMemezelo, iZethulo nemiBiko yeKomidi, 16 Velabahlinze 2020, ikh 35).",July
"Consideration of Report of Portfolio Committee on Defence and Military Veterans on 2020 Special Adjustments Budget for Vote 23 Defence (Announcements, Tablings and Committee Reports, 16 July 2020, p 18).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezokuVikela naboMakekere bamaJoni mayelana neVowudi yesAbelomali eKhwezelelweko eKhethekileko Yama 23 yezokuVikela (iiMemezelo, iZethulo nemiBiko yeKomidi, 16 Velabahlinze 2020, ikh 18).",July
"Consideration of Report of Portfolio Committee on Employment and Labour on Adjusted Budget Vote 31: Employment and Labour and Revised Annual Performance Plan of Department 2020/21 (Announcements, Tablings and Committee Reports, 16 July 2020, p 5).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezokuQhatjha nomSebenzi mayelana neVowudi yesAbelomali eKhwezelelweko Yama 31: ukuQhatjha nomSebenzi naMano wokuSebenza womNyaka aBuyekeziweko womNyango wangomnyaka ween-2020/21 (iiMemezelo, iZethulo nemiBiko yeKomidi, 16 Velabahlinze 2020, ikh 5).",July
"Consideration of Report of Portfolio Committee on Public Works and Infrastructure on Adjustments made within budgetary allocation of Vote 13: Public Works and Infrastructure (Announcements, Tablings and Committee Reports, 15 July 2020, p 155).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezomSebenzi womPhakathi nomThangalasiseko mayelana nesiKhwezelelo esenziwa nakwabiwa isabelomali seVowudi Ye 13: umSebenzi womPhakathi nomThangalasisekeko (iiMemezelo, iZethulo nemiBiko yeKomidi, ikh 155).",July
"Consideration of Report of Portfolio Committee on Public Works and Infrastructure on 2019/20 Fourth Quarter performance of Department of Public Works and Infrastructure and Property Management Trading Entity (Announcements, Tablings and Committee Reports, 15 July 2020, p 141).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yomSebenzi womPhakathi nomThangalasiseko mayelana neKota yeSine yokusebenza yangomnyaka ween-2019/20 yomNyango wezomSebenzi womPhakathi nomThangalasiseko neBubulo lokuPhathwa kwePahla eThengiswako (iiMemezelo, iZethulo nemiBiko yeKomidi, 15 Velabahlinze 2020, ikh 141).",July
"Consideration of Report of Portfolio Committee on Police on Adjusted Budget Vote 21: Civilian Secretariat for Police Services (CSPS) (Announcements, Tablings and Committee Reports, 15 July 2020, p 129).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezesiPholisa mayelana neVowudi yesAbelomali eKhwezeleleko Yama 21: iZiko labonoBhala bomsebenzi wesiPholisa (CSPS) (iiMemezelo, iZethulo nemiBiko yeKomidi, 15 Velabahlinze 2020, ikh 129).",July
"Consideration of Report of Portfolio Committee on Police on Adjusted Budget Vote 24: Independent Police Investigative Directorate (IPID) (Announcements, Tablings and Committee Reports, 15 July 2020, p 120).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezesiPholisa mayelana neVowudi yesAbelomali eKhwezeleleko Yama 24: iPhiko eliziJamleko eliPhenya amaPholisa (IPID) (iiMemezelo, iZethulo nemiBiko yeKomidi, 15 Velabahlinze 2020, ikh 120).",July
"Consideration of Report of Portfolio Committee on Police on Adjusted Budget Vote 28: South African Police Services (Announcements, Tablings and Committee Reports, 15 July 2020, p 101).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezesiPholisa mayelana neVowudi yesAbelomali eKhwezeleleko Yama 28: umSebenzi wemaPholisa weSewula Afrika (iiMemezelo, iZethulo nemiBiko yeKomidi, 15 Velabahlinze 2020, ikh 101).",July
"Consideration of Report of Portfolio Committee on Transport on Adjusted allocations of Budget Vote 40: Transport (Announcements, Tablings and Committee Reports, 15 July 2020, p 87).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezenThuthi mayelana nesiKhwezelelo esabiweko seVowudi yesAbelomali Yama 40: iinThuthi (iiMememzelo, iZethulo nemiBiko yeKomidi, 15 Velabahlinze 2020, ikh 87).",July
"Consideration of Report of Portfolio Committee on Agriculture, Land Reform and Rural Development on Special Adjustment Budget and 2020/21 Revised Annual Performance Plan of Department of Agriculture Land Reform and Rural Development: Vote 29 (Announcements, Tablings and Committee Reports, 15 July 2020, p 77).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezeBhoduluko, ukuBuyekezwa kweNarha nokuThuthukisa kweeNdawo zemaPlasini mayelana nesiKhwezelelo esiKhethekileko sesAbelomali naMano wokuSebenza womNyaka oBuyekeziweko wangomnyaka ween-2020/21 womNyango wezeBhoduluko, ukuBuyekezwa kweNarha nokuThuthukiswa kweNdawo zemaPlasini: iVowudi Yama 29 (iiMemezelo, iZethulo nemiBiko yeKomidi, 15 Velabahlinze 2020, ikh 77).",July
"Consideration of Report of Portfolio Committee on Home Affairs on 2020/21 Special Adjusted Budget Vote 5 - Department of Home Affairs (Announcements, Tablings and Committee Reports, 15 July 2020, p 69).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezeNdaba zeKhaya mayelana neVowudi yesAbelomali eKhwezeleleko eKhethekileko yangonmyaka weeen-2020/21 Ye 5 – yomNyango weeNdaba zeKhaya (iiMemezelo, iZethulo nemiBiko yeKomidi, 15 Velabahlinze 2020, ikh 69).",July
"Consideration of Report of Portfolio Committee on Sport, Arts and Culture on Impact of COVID-19 on Strategic Plan and Annual Performance Plan of Department of Sport, Arts and Culture Budget Vote 37: Sport, Arts and Culture (Announcements, Tablings and Committee Reports, 15 July 2020, p 55).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezemiDlalo, ubuKrhwari namaSiko mayelana nomThelela we-COVID-19 malungana naMano wokuSebenza naMano wokuSebenzela womNyaka womNyango wezemiDlalo, nobuKrhwari namaSiko weVowudi yesAbelomali yama-37: zemiDlalo, ubuKrhwari namaSiko (iiMemezelo, iZethulo nemiBiko yeKomidi, 15 Velabahlinze 2020, ikh 55).",July
"Consideration of Report of Portfolio Committee on Basic Education on Impact of COVID-19 on Strategic Plan and Annual Performance Plan of Department of Basic Education and entities in respect of Budget Vote 16: Basic Education (Announcements, Tablings and Committee Reports, 15 July 2020, p 29).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezeFundo eSisekelo mayelana nomThelela we-COVID-19 malungana naMano wokuSebenza naMano wokuSebenza womNyaka womNyango wezeFundo eSisekelo namaBubulo womBuso ngokuya kweVowudi yesAbelomali Ye 16: iFundo eSisekelo (iiMemzelo, iZethulo nemiBiko yeKomidi, 15 Velabahlinze 2020, ikh 29).",July
"Consideration of Report of Portfolio Committee on Communications on Supplementary Budget on Vote 30: Communications and Digital Technologies (Announcements, Tablings and Committee Reports, 15 July 2020, p 19).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezokuThintana mayelana nesiKhwezelelo seVowudi yesAbelomali Yama 30: zokuThintana neThekhinoloji yeDijithali (iiMemezelo, iZethulo imiBiko yeKomidi, 15 Velabahlinze 2020, ikh 19).",July
"Consideration of Report of Portfolio Committee on Communications on Supplementary Budget on Vote 4: Government Communication and Information System (Announcements, Tablings and Committee Reports, 15 July 2020, p 10).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezokuThintana mayelana nesiKhwezelelo seVowudi yesAbelomali Ye 4: IPhiko lezokuThintana neHlelo leLwazi (iiMemezelo, iZethulo nemiBiko yeKomidi, 15 Velabahlinze 2020, ikh 10).",July
"Consideration of Report of Portfolio Committee on Communications on Draft notice determining the remuneration of councillors of the Independent Communications Authority of South Africa (ICASA) (Announcements, Tablings and Committee Reports, 15 July 2020, p 8).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezokuThintana mayelana nesaziso seTlhatlha elihlathulula umrholo wamakhansela beZiko eliziJameleko eliLawula zokuThintana leSewula Afrika (ICASA) (iiMemezelo, iZethulo nemiBiko yeKomidi, 15 Velabahlinze 2020, ikh 8).",July
"Consideration of Report of Portfolio Committee on Communications on Filling of four vacancies on the Media Development and Diversity Agency (MDDA) Board (Announcements, Tablings and Committee Reports, 15 July 2020, p 6).","Consideration of Report of Portfolio Committee on Communications on Filling of four vacancies on the Media Development and Diversity Agency (MDDA) Board (Announcements, Tablings and Committee Reports, 15 July 2020, p 6). Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezokuThintana mayelana nokuZaliseswa kweenkhundla zabantu abane eBhodini yeZiko lokuThuthukiswa kokuBikwa kweNdaba nokweHlukana (iiMemezelo, iZethulo nemiBiko yeKomidi, 15 Velabahlinze 2020, ikh 6).",July
"Consideration of Report of Portfolio Committee on Mineral Resources on Special Adjusted Budget Vote No 34: Department of Mineral Resources and Energy (Announcements, Tablings and Committee Reports, 14 July 2020, p 24).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yenTlabagelo zezeNjiwa mayelana neVowudi yesAbelomali eKhwezeleleko eKhethekileko Yama 34: umNyango wezeenSetjhenziswa zezeNjiwa naMandla (iiMemezelo, iZethulo nemiBiko yeKomidi, 14 Velabahlinze 2020, ikh 24).",July
"Consideration of Report of Portfolio Committee on Police on Unsolicited petition on Re-enlistment of former Police forum members into Police Service (Mr M Qongqo) (Announcements, Tablings and Committee Reports, 26 June 2020, p 20).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezesiPholisa mayelana neNcwadi yeeNlilo engaziwako bona ibuyaphi malungana nokuBuyiselwa kweforamu yamalunga wamaPolisa walokha emSebenzini wesiPholisa (Nom M Qongqo) (isiMemezelo, iZethulo nemiBiko yeKomidi, 26 Mgwengweni 2020, ikh 20).",July
"Consideration of Report of Portfolio Committee on Police on Petition from the residents of Wattville, Benoni calling on the Assembly to address the escalation of crime, including gender-based violence and violence against children, and the need for a police station in their area (submitted by Ms H Ismail, MP) and Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high crime rate and drugs, the provision of police kiosks and police vehicles in their area (submitted by Ms H Ismail, MP) (Announcements, Tablings and Committee Reports, 26 June 2020, p 15).","Ukutjhejwa kombiko weKomidi yesiBethamthetho seNarha yezesiPholisa mayelana neNcwadi yeenlilo evela kuzakhamuzi ze-Wattville, e-Benoni ebawa bona iNdlu yesiBethamthetho seNarha ilungise umraro wokukhula kobulelesi, ukufakahlangana nomgurguru wobulili kunye nomguruguru oqaliswe ebantwaneni nesidingo sokwakhiwa kwesitetjhi samapholisa endaweni yabo (ethunyelwe ngu-Ksk. H Ismail) neNcwadi yenlilo evela kuzakhamuzi ze-Actonville, e-Benoni, ebawa bona iNdlu yesiBethamthetho seNarha iphenye izinga lobulelesi neendakamizwa eliphezulu, ukunikela ngendlwana yamapholisa neenthuthi zamapholisa endaweni yabo (ethunyelwe ngu-Kkz. H Ismail, iLunga lePalamende) (isiMemezelo, iZethulo nemiBiko yeKomidi, 26 Mgwengweni 2020, ikh 15).",July
"Consideration of Report of Portfolio Committee on Police on Petition of Mr Cornelius Basson (Announcements, Tablings and Committee Reports, 26 June 2020, p 10).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezesiPholisa mayelana neNcwadi yeeNlilo ka-Nom Cornelius Basson (isiMemezelo, iZethulo, nemiBiko yeKomidi, 26 Mgwengweni 2020, ikh10).",July
"Consideration of Report of Portfolio Committee on Police on Application for Firearm Amnesty declaration (Announcements, Tablings and Committee Reports, 26 June 2020, p 9).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezesiPholisa mayelana nesiBawo sesibopho sokuLibalelwa kokuPhatha kweSigidi esingasisemThethweni (isiMemezelo, iZethulo nemiBiko yeKomidi, 26 Mgwengweni 2020, ikh 9).",July
"Consideration of Report of Portfolio Committee on Police on Petition from the residents of Kempton Park, calling on the Assembly to investigate chronic inadequate visible policing and shortage of vehicles at the Kempton Park police station (submitted by Mr M Waters, MP) (Announcements, Tablings and Committee Reports, 26 June 2020, p 4).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezesiPholisa mayelana neNcwadi yeenlilo evela kuzakhamuzi zeKempton Park, ebawa bona iNdlu yesiBethamthetho seNarha iphenyisise ngomraro wokungabikhona kokungabonakali kokusebenza kwamapholisa emphakathini nokutlhayela kweenkoloyi esitetjhini samapholisa se-Kempton Park (ithunyelwe ngu-Nom. M Waters) (isiMemezelo, iZethulo nemiBikoyeKomidi, 26 Mgwengweni 2020, ikh 4).",July
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s fourth quarter financial and non-financial performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 25 June 2020, p 5).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezeRhwebo namBubulo mayelana neKota yesine yezemali nemali ezingakasetjhenziswa zomnyaka ween-2019/20 zomnyaka weemali yemiNyango yezeRhwebo namaBubulo newokuThuthukiswa komNotho (isiMemezelo, iZethulo nemiBiko yeKomidi, 25 Mgwengweni 2020, ikh 5).",July
"Consideration of Report of Portfolio Committee on Trade and Industry on Oversight visit to Gauteng (Announcements, Tablings and Committee Reports, 23 June 2020, p 17).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezeRhwebo namaBubulo mayelana nevakatjho lokuTjhejisisa le-Gauteng (isiMemezelo, iZethulo nemiBiko yeKomidi, 23 Mgwengweni 2020, ikh 17).",July
"Consideration of Report of Portfolio Committee on Trade and Industry on Oversight visit to Western Cape (Announcements, Tablings and Committee Reports, 23 June 2020, p 4).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezeRhwebo namaBubulo mayelana nevakatjho lokuTjhejisisa e-Tjhingalanga Kapa (isiMemezelo, iZethulo nemiBiko yeKomidi, 23 Mgwengweni 2020, ikh 4).",July
"Consideration of Report of Joint Standing Committee on Defence on Letters from the President on Employment of South African National Defence Force in Mozambique Channel, Democratic Republic of Congo, to Wuhan City in Hubei Province of People’s Republic of China, and in support of South African Police Service and other State Departments (Announcements, Tablings and Committee Reports, 19 June 2020, p 3).","Ukutjhejwa komBiko weKomidi yeHlanganyela yaSafuthi yesiBethamthetho seNarha yezokuVikela mayelana neeNcwadi ezitlolwe nguMongameli malungana nokuQhatjhwa kwaMajoni wezokuVikela weNarha eMrhobeni weMozambique, ne-Democratic Republic of Congo, neDrobheni le-Wuhan esiFundeni se-Hubei e-People’s Republic of China, nokusekela umSebenzi wemaPholisa weSewula Afika neminye imiNyango yomBuso (isiMemezelo, iZethulo nemiBiko yeKomidi, 19 Mgwengweni 2020, ikh 3).",July
"Consideration of Report of Portfolio Committee on Employment and Labour on Second Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcements, Tablings and Committee Reports, 18 June 2020, p 120).","Ukutjhejwa komBiko weKomidi yesiBethamtetho seNarha yezokuQhatjha nomSebenzi mayelana nomBiko weKota yesiBili malungana nokusebenza komNyango wokuQhatjha nomSebenzi namabubulo wombuso ekuhlangabezaneni neminqopho yamano wangomnyaka ween-2019/20 (isiMemezelo, iZethulo nemiBiko yeKomidi, 18 Mgwengweni 2020, ikh 120).",July
"Consideration of Report of Portfolio Committee on Employment and Labour on First Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcements, Tablings and Committee Reports, 18 June 2020, p 81).","Ukutjhejwa komBiko weKomidi yesiBethamtetho seNarha yezokuQhatjha nomSebenzi mayelana nomBiko weKota yokuThoma malungana nokusebenza komNyango wokuQhatjha nomSebenzi namabubulo wombuso ekuhlangabezaneni neminqopho yamano wangomnyaka ween-2019/20 (isiMemezelo, iZethulo nemiBiko yeKomidi, 18 Mgwengweni 2020, ikh 81).",July
"Consideration of Report of Portfolio Committee on Employment and Labour on Third Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2018/19 (Announcements, Tablings and Committee Reports, 18 June 2020, p 12).","Ukutjhejwa komBiko weKomidi yesiBethamtetho seNarha yezokuQhatjha nomSebenzi mayelana nomBiko weKota yesiThathu malungana nokusebenza komNyango wokuQhatjha nomSebenzi namabubulo wombuso ekuhlangabezaneni neminqopho yamano wangomnyaka ween-2018/19 (isiMemezelo, iZethulo nemiBiko yeKomidi, 18 Mgwengweni 2020, ikh 12).",July
"Consideration of Report of Portfolio Committee on Employment and Labour on Oversight visit to Compensation Fund Head-Quarters (Announcements, Tablings and Committee Reports, 18 June 2020, p 3).","Consideration of Report of Portfolio Committee on Employment and Labour on Oversight visit to Compensation Fund Head-Quarters (Announcement, Tablings and Committee Reports, 18 June 2020, p 3). Ukutjhejwa komBiko weKomidi yesiBethamtetho seNarha yezokuQhatjha nomSebenzi mayelana nevakatjho lokuTjhejisisa ekomKhulu-lama-Ofisi wesiKhwama seMali yesiNcephezelo (isiMemezelo, iZethulo nemiBiko yeKomidi, 18 Mgwengweni 2020, ikh 3).",July
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Third Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 19 May 2020, p 3).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezeRhwebo namaBubulo mayelana neKota yezeeMali yesiThathu yomNyango wezeRhwebo namaBubulo nomSebenzi wezinto ezingaFuni iMali emnyakeni weemali wangomnyaka ween-2019/20 (isiMemezelo, iZethulo nemiBiko yeKomidi, 19 Ntaka 2020, ikh 3).",July
"Consideration of Report of Portfolio Committee on International Relations and Cooperation on Oversight visit on pilot project for acquisition of office accommodation for South African Permanent Mission to United Nations and Consulate-General in New York, United States of America (Announcements, Tablings and Committee Reports, 16 March 2020, p 11).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezoBudlelwano beeNtjhabatjhaba nokuHlanganyela mayelana nevakatjho lokuTjhejisisa malungana nehlelo lokulingelela kokutholwa kweendawo zama-ofisi wabaZenda baSafuthi beSewula Afrika ne-Consulate-General e-New York, e-United States of America (isiMemezelo, iZethulo, nemiBiko yeKomidi, 16 Ntaka 2020, ikh 11).",July
"Decision of Question on Report of Portfolio Committee on Higher Education, Science and Technology on 2019/20 First Quarter financial and service delivery performance report of Department of Higher Education and Training (Announcements, Tablings and Committee Reports, 5 December 2019, p 64).","Isiqunto somBuzo malungana nomBiko weKomidi yesiBethamthetho seNarha yezeFundo ePhakemeko, iSayensi neThekhinoloji mayelana neKota yokuThoma yeMali yangomnyaka ween-2019/20 nombiko wokuthulwa komsebenzi womNyango wezefundo ePhakemeko nokuBantula (iiMemezelo, iZethulo nemiBiko yeKomidi, 5 Nobayeni 2020, ikh 64).",July
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department Public Service and Administration, Entities and Public Service Commission (Announcements, Tablings and Committee Reports, 11 March 2020, p 30).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezomSebenzi womPhakathi nokuPhatha mayelana nokusebenza kweKota yesiBili neyesiThathu yangomnyaka ween-2019/20 yomnyaka weeemali: yoMnyamgo womSebenzi womPhakathi nokuPhatha, amaBubulo womBuso neKomitjhini yomsebenzo womPhakathi (iiMemezelo, iZethulo nemiBiko yeKomidi, 11 Ntaka 2020, ikh 30).  (Announcements, Tablings and Committee Reports, 11 March 2020, p 30).",July
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Statistics South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 23).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yezomSebenzi womPhakathi nokuPhatha mayelana nokusebenza kweKota yesiBili neyesiThathu yangomnyaka ween-2019/20 yomnyaka weeemali: yeZiko leMbalobalo leSewula Afrika (iiMemezelo, iZethulo nemiBiko yeKomidi, 11 Ntaka 2020, ikh 23).",July
