eng,zul,source
BILLS REFERRED TO JOINT TAGGING MECHANISM (JTM),IMITHETHOSIVIVINYWA ETHUNYELWE EKOMIDINI LOKUHLUNGA ELIYINHLANGANISELA (JTM),June
Upgrading of Land Tenure Rights Amendment Bill [B 6 - 2020] (National Assembly – proposed sec 76).,ISichibiyelo SoMthethosivivinywa Wokwenziwangcono Kwamalungelo Okuhlala Emhlabeni Okuvunyelwe Umnikaziwo [B 6 - 2020] (IsiShayamthetho kaZwelonke – isigaba esihlongoziwe esingama-76).,June
National Road Traffic Amendment Bill [B7-2020] (National Assembly – proposed sec 76).,Isichibiyelo soMthethosivivinywa Wezemigwaqo kaZwelonke [B7-2020] (iNdlu yesiShayamthetho kaZwelonke– esihlongoziwe isigaba 76).,June
Transport Appeal Tribunal Amendment Bill [B8-2020] (National Assembly – proposed sec 76).,Isicibiyelo soMthethosivivinywa WeziNkundla Zokwedlulisa Amacala [B8-2020] (iNdlu yesiShayamthetho kaZwelonke – esihlongoziwe isigaba 76).,June
BILLS REFERRED TO COMMITTEES,IMITHETHOSIVIVINYWA EBHEKISWE EMAKOMIDINI,June
"Protection of State Information Bill [B 6H – 2010] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 7) – (Portfolio Committee on Justice and Correctional Services – National Assembly).","UMthethosivivinywa Wokuvikelwa Kokusatshalaliswa Kwezindaba Zombuso [B 6H – 2010] (iNdlu yesiShayanthetho sikaZwelonke – isig. 75) kanye nezinto ezikhathaza uMongameli ngalo Mthethosivivinywa mayelana nokuthi uyahambisana yini noMthethosisekelo ngesikhathi wethulwa kuye (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla zi-12 kuNhlangulana wezi-2020, ikh 7) – (iKomidi loMkhandlu kaZwelonke elibhekele Ezobulungiswa kanye Nokuhlunyeleliswa Kwezimilo – iNdlu yesiShayamthetho sikaZwelonke).",June
"Liquor Products Amendment Bill [B 10B – 2016] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 2) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly).","ISichibiyelo soMthethosivivinywa Semikhiqizo Yotshwala [B 10B – 2016] (iNdlu yesiShayanthetho sikaZwelonke – isig. 75) kanye nezinto ezikhathaza uMongameli ngalo Mthethosivivinywa mayelana nokuthi uyahambisana yini noMthethosisekelo ngesikhathi wethulwa kuye (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla zi-12 kuNhlangulana wezi-2020, ikh 2) – (iKomidi loMkhandlu kaZwelonke elibhekele Ezolimo, Izinguquko Zezomhlaba Nokuthuthukiswa Kwezindawo Zasemakhaya – iNdlu yesiShayamthetho sikaZwelonke).",June
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,Isichibiyelo soMthethosivivinywa WeziNkantolo ZeNdabuko [B 1B – 2017] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-76) – (iKomidi loMkhandlu kaZwelonke Wezifundazwe elibhekele Ezokuphepha kanye Nezobulungiswa –uMkhandlu kaZwelonke Wezifundazwe).,June
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75) – (Select Committee on Security and Justice – National Council of Provinces).,UMthethosivivinywa WobuGebengu Obenziwe Nge-Inthanethi [B 6B – 2017] (iNdlu yesiShayanthetho sikaZwelonke – isigaba-75) – (iKomidi loMkhandlu kaZwelonke Wezifundazwe elibhekele Ezokuphepha kanye Nezobulungiswa).,June
Road Accident Benefit Scheme Bill [B 17B – 2017] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Isichibiyelo soMthethosivivinywa Wesikhwama Semihlomulo YeziNgozi ZemiGwaqo [B 17B – 2017] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-75) – (iKomidi lesiShayamthetho sikaZwelonke elibhekele Ezokuthutha – iNdlu yesiShayamthetho sikaZwelonke).,June
International Crimes Bill [B 37 – 2017] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Isichibiyelo soMthethosivivinywa Wamacala Enziwe Ezingeni Lamazwe Omhlaba [B 37 – 2017] (iNdlu yesiShayamthetho sikaZwelonke –isgaba-75) – (iKomidi lesiShayamthetho sikaZwelonke elibhekele Ezobulungiswa kanye Nokuhlunyeleliswa kwezimilo – iNdlu yesiShayamthetho sikaZwelonke).,June
"Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","UMthethosivivinywa WeNkampani Yezindiza [B 5B-2018] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-75) (iKomidi Lomkhandlu WeziFundazwe LezokuThutha, Abasebenzi BakaHulumeni, iMisebenzi Yomphakathi kanye Nenqalasizinda- uMkhandlu kaZwelonke Wezifundazwe).",June
"Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Isichibiyelo SoMthethosivivinywa Wokuhamba Emoyeni kanye Nezinkampani Ezilawula Ezokuhamba Emoyeni [B 6B – 2018] (iNdlu yesiShayamthetho sikaZwelonke – sisigaba-75) (iKomidi Lomkhandlu WeziFundazwe LezokuThutha, Abasebenzi BakaHulumeni, iMisebenzi Yomphakathi kanye Nenqalasizinda- uMkhandlu kaZwelonke Wezifundazwe).",June
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76) – (Select Committee on Health and Social Services – National Council of Provinces).,ISichibiyelo SoMthethosivivinywa Wokusizwa Komphakathi [B 8B - 2018] (iNdlu yesiShayamthetho sikaZwelonke –isgaba 76) – (iKomidi Lomkhandlu Kazwelonke WeziFundazwe elibhekele Ezempilo kanye Nemisebenzi Yezenhlalakahle - UMmkhandlu Kazwelonke WeziFundazwe).,June
Prevention of Hate Crimes and Hate Speech Bill [B 9 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Isichibiyelo soMthethosivivinywa Sokuvikela Amacala Enzondo kanye Nenkulumo Enenzondo [B 9 – 2018] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-75) – (iKomidi loMkhandlu kaZwelonke elibhekele Ezobulungiswa kanye Nokuhlunyeleliswa kwezimilo – iNdlu yesiShayamthetho sikaZwelonke).,June
State Liability Amendment Bill [B 16 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Isichibiyelo soMthethosivivinywa Wezikweletu zoMbuso [B 16 – 2018] (iNdlu yesiShayamtetho sikaZwelonke – isigaba-75) – (iKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele Ezobulungiswa kanye Nokuhlunyeleliswa Kwezimilo – iNdlu yesiShayamthetho sikaZwelonke).,June
"Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76) – (Select Committee on Cooperative Governance and Traditional Affairs, Water and Sanitation and Human Settlements – National Council of Provinces).","Ohulumeni Basekhaya: Isichibiyelo soMthethosivivinywa Wezinhlaka zoMasipala [B 19B – 2018] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-76) – (iKomidi loKhandlu kaZwelonke Wezifundazwe elibhekele Ezokubusa ngokubambisana kanye Nezindaba Zendabuko, Ezamanzi kanye Nokuthuthwa Kwendle Nokuhlaliswa Kwabantu – uMkhandlu kaZwelonke Wezifundazwe).",June
South African Reserve Bank Bill [B 26 – 2018] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,Isichibiyelo soMthethosivivinywa Webhangengodla laseNingizimu Afrika [B 26 – 2018] (iNdlu yesiShayamtetho sikaZwelonke – isigaba-75) – (iKomidi Elingaguquki elibhekele Ezezimali – iNdlu yesiShayamthetho sikaZwelonke).,June
"National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76) – (Select Committee on Trade and Industry, Economic Development, Small Business Development, Tourism, Labour and Employment – National Council of Provinces).","Isichibiyelo soMthethosivivinywa WezokuGembula kuZwelonke [B 27B – 2018] (iNdlu yesiShayamtetho sikaZwelonke – isigaba-76) – (iKomidi loMkhandlu kaZwelonke elibhekele Ezokuhweba kanye Nezimboni, Ukuthuthukiswa Kwamabhizinisi Amancane, Ezokuvakasha, Ezokuqashwa kanye Nezabasebenzi – uMkhandlu kaZwelonke Wezifundazwe).",June
National Health Amendment Bill [B 29 – 2018] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,Isichibiyelo soMthethosivivinywa Wezempilo kaZwelonke [B 29 – 2018] (iNdlu yesiShayamtetho sikaZwelonke – isigaba-76) – (iKomidi lesiShayamthetho sikaZwelonke elibhekele Ezempilo – iNdlu yesiShayamthetho sikaZwelonke).,June
Public Finance Management Amendment Bill [B 41  2018] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,Isichibiyelo soMthethosivivinywa Wokulawulwa Kwezimali Zikahulumeni [B 41 2018] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-76) – (IKomidi Elingaguquki elibhekele Ezezimali – iNdlu yesiShayamthetho sikaZwelonke).,June
"Science and Technology Laws Amendment Bill [B 42B  2018] (National Assembly – sec 75) – (Select Committee on Education and Technology, Sports, Arts and Culture – National Council of Provinces).","Isichibiyelo soMthethosivivinywa WeSayensi NoBuchwepheshe [B 42B  2018] (IsiShayamthetho SikaZwelonke, isigaba 75) – (IKomiti Lomkhandlu KaZwelonke WeziFundazwe elibhekele EzeMfundo kanye NoBuchwepheshe, Ezemidlalo, Ezamaciko kanyeNamasiko – UMmkhandlu KaZwelonke WeziFundazwe).",June
Civil Aviation Amendment Bill [B 44 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Isichibiyelo soMthethosivivinywa WeziNdiza Zomphakathi [B 44 – 2018] (iNdlu yesiShayamtetho sikaZwelonke – isigaba-75) (iKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele Ezokuthutha – iNdlu yesiShayamthetho sikaZwelonke) – ((iKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele Ezokuthutha – iNdlu yesiShayamthetho sikaZwelonke).,June
Local Government: Municipal Systems Amendment Bill [B 2 – 2019] (National Assembly – sec 76) – (Portfolio Committee Cooperative Government and Traditional Affairs – National Assembly).,Ohulumeni Basekhaya: Isichibiyelo soMthethosivivinywa Wezindlela ZoMasipala Zokwenza Izinto [B 2 – 2019] (iNdlu yesiShayamtetho sikaZwelonke – isigaba-76) – (iKomidi leNdlu yesiShayamththo sikaZwelonke elibhekele EzokuBusa NgokuBambisana kanye NeziNdaba zeNdabuko – iNdlu yesiShaymthetho sikaZwelonke).,June
National Health Insurance Bill [B 11 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,UMthethosivivinywa woMshwalense kaZwelonke Wezempilo [B 11 - 2019] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-76) – (IKomidi LeSishayamthetho elibhekele Ezempilo – iNdlu yesiShayamthetho sikaZwelonke).,June
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,ISichibiyelo SoMthethosivivinywa Owamukela Imishado Yesintu [B 12 - 2019] (iSishayamthetho SikaZwelonke – isigaba 76) – (IKomidi loMkhandlu kaZwelonke Wezifundazwe elibhekele Ezokuphepha kanye Nobulungiswa – uMkhandlu kaZwelonke Wezifundazwe).,June
Judicial Matters Amendment Bill [B 13B - 2019] (National Assembly – sec 75) – (Select Committee on Security and Justice - National Council of Provinces).,ISichibiyelo soMthethosivivinywa Wezindaba Zezobulungiswa [B 13B - 2019] (IsiShayamthetho SikaZwelonke – Isigaba 75) – (IKomidi loMkhandlu kaZwelonke Wezifundazwe elibhekele Ezokuphepha kanye Nobulungiswa – uMkhandlu kaZwelonke Wezifundazwe).,June
Independent Electricity Management Operator Bill [B 14 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Mineral Resources and Energy – National Assembly).,Isichibiyelo soMthethosivivinywa Wokulawula Ukusebenza Okuzimele Emkhakheni Wogesi [B 14 - 2019] (iNdlu yesiShayamthetho sikaZwelonke – ohlingoziwe isigaba-76) – (iKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele Ezezimbiwa kanye Nezamandla – iNdlu yesiShayamthetho sikaZwelonke).,June
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75) – (Select Committee on Security and Justice – National Council of Provinces).,ISichiyelo SoMthethosivivinywa Wokuphelelwa Isikhathi Kwezindaba Zombango kanye Namacala Obugebengu (Amacala Ezocansi) [B 22B - 2019] (iSishayamthetho Sikazwelonke – isigaba 75 (iKomidini loMkhandlu Kazwelonke Wezifundazwe elibhekele Ezokuphepha kanye neZobulungiswa - uMkhandlu kaZwelonke WeziFundazwe).,June
Economic Regulation of Transport Bill [B 1 - 2020] (National Assembly– sec 76) – (Portfolio Committee on Transport – National Assembly).,Umthethosivivinywa olawula uMnotho Wezokuthutha [B 1 - 2020] ((iNdlu yesiShayamthetho kaZwelonke – isigaba-76 esiphakanyisiwe) – (IKomiti lesiShayanthetho sikaZwelonke elibhekelele Ezokuthutha – IsiShayamthetho sikaZwelonke).,June
Auditing Profession Amendment Bill [B 2 - 2020] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,Isichibiyelo soMthethosivivinywa Wokulawula uMkhakha Wabacwaningimabhuku [B 2 - 2020] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-75) – (iKomidi Elingaguquki elibhekel Ezezimali – iNdlu yesiShayamthetho sikaZwelonke).,June
Fiscal Responsibility Bill [B 5 - 2020] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,UMthethosivivinywa Wokusetshenziswa Kwezimali zikaHulumeni Ngokucophelela ongu [B 5 - 2020] (IsiShayamthethosikaZwelonke ongu – isigaba sama-76).,June
"Upgrading of Land Tenure Rights Amendment Bill [B 6 - 2020] (National Assembly – proposed sec 76) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly).","ISichibiyelo SoMthethosivivinywa Wokwenziwangcono Kwamalungelo Okuhlala Emhlabeni Okuvunyelwe Umnikaziwo [B 6 - 2020] (iNdlu yesiShayamthetho kaZwelonke – esihlongoziwe isigaba sama- 76) – (IKomidi LesiShayamthetho elibhekele Ezolimo, Ukubuyiswa Komhlaba Nokuthuthukiswa Kwezindawo Zasemakhaya – iNdlu yesiShayamthetho kaZwelonke).",June
National Road Traffic Amendment Bill [B7-2020] (National Assembly – proposed sec 76) – (Portfolio Committee on Transport – National Assembly).,Isichibiyelo soMthethosivivinywa Wezemigwaqo kaZwelonke [B7-2020] (iNdlu yesiShayamthetho kaZwelonke– esihlongoziwe isigaba 76) – (IKomidi lLesiShayamthetho kaZwelonke elibhekele Ezokuthutha– iNdlu yesiShayamthetho kaZwelonke).,June
Transport Appeal Tribunal Amendment Bill [B8-2020] (National Assembly – proposed sec 76) – (Portfolio Committee on Transport – National Assembly).,Isicibiyelo soMthethosivivinywa WeziNkundla Zokwedlulisa Amacala Apathelene Nezokuthutha [B8-2020] (iNdlu yesiShayamthetho kaZwelonke – esihlongoziwe isigaba 76) – (IKomidi LesiShayamthetho elibhekele Ezokuthutha – iNdlu yesiShayamthetho kaZwelonke).,June
BILLS RETURNED TO ASSEMBLY FOR CONSIDERATION OF PRESIDENT’S RESERVATIONS,IMITHETHOSIVIVINYWA EPHINDISELWE ENDLINI YESISHAYAMTHETHO SIKAZWELONKE UKUZE KUYOCUTSHUNGULWA IZINTO EZIKHATHAZA UMONGAMELI NGAWO,June
Liquor Products Amendment Bill [B 10B – 2016] (National Assembly – sec 75).,ISichibiyelo soMthethosivivinywa Semikhiqizo Yotshwala [B 10B – 2016] (iNdlu yesiShayanthetho sikaZwelonke – isig. 75).,June
Protection of State Information Bill [B 6H – 2010] (National Assembly – sec 75).,UMthethosivivinywa Wokuvikelwa Kokusatshalaliswa Kwezindaba Zombuso [B 6H – 2010] (iNdlu yesiShayanthetho sikaZwelonke – isig. 75).,June
BILLS PASSED BY NATIONAL ASSEMBLY AND TRANSMITTED TO NATIONAL COUNCIL OF PROVINCES FOR CONCURRENCE,IMITHETHOSIVIVINYWA EPHASISWE ISISHAYAMTHETHO SIKAZWELONKE YAZE YADLULISELWA EMKHANDLWINI KAZWELONKE WEZIFUNDAZWE UKUZE KUYOVUNYELWANA NGAYO,June
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76).,UMthethosivivinywa WeziNkantolo ZeNdabuko [B 1B – 2017] (iNdlu yesiShayamthetho sikaZwelonke – isigaba 76).,June
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75).,UMthethosivivinywa WobuGebengu Obenziwe Nge-Inthanethi [B 6B – 2017] (iNdlu yesiShayanthetho sikaZwelonke – isigaba 75).,June
Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75).,ISichibiyelo SoMthethosivivinywa Wezinkampani Zezikhumulo Zezindiza Bill [B 5B – 2018] (iSishayamthetho Sikazwelonke – isigaba 75).,June
Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75).,Nezinkampani Ezilawula Ukuhamba Emoyeni [B 6B – 2018] (iNdlu yesiShayamthetho sikaZwelonke – sisigaba 75).,June
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76).,ISichibiyelo soMthethosivivinywa Wezokusizwa Komphakathi   [B 8 – 2018] (iSishayamthetho Sikazwelonke – isigaba 76).,June
Civil Union Amendment Bill [B 11B – 2018] (National Assembly – sec 75).,Isichibiyelo soMthethosivivinywa Wemishado Yabantu Bobulili Obufanayo [B 11B – 2018] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-75).,June
Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76).,Ohulumeni Basekhaya: Isichibiyelo soMthethosivivinywa Wezinhlaka ZoMasipala [B 19B – 2018] (iNdlu yesiShayamtetho sikaZwelonke – isigaba-76).,June
National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76).,Isichibiyelo soMthethosivivinywa Kazwelonke WezokuGembula [B 27B – 2018] (iNdlu yesiShayamtetho sikaZwelonke – isigaba76).,June
Science and Technology Laws Amendment Bill [B 42B  2018] (National Assembly – sec 75).,Isichibiyelo soMthethosivivinywa WeSayensi noBuchwepheshe [B 42B  2018] (IsiShayamthetho SikaZwelonke – Isigaba 75).,June
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76).,neSichibiyelo SoMthethosivivinywa Owamukela Imishado Yesintu [B 12 - 2019] ((iSishayamthetho Sikazwelonke – isigaba 76).,June
Judicial Matters Amendment Bill [B 13B - 2019] (National Assembly – sec 75).,ISichibiyelo soMthethosivivinywa Wezindaba Zezobulungiswa [B 13B - 2019] (IsiShayamthetho SikaZwelonke – Isigaba 75).,June
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75).,ISichiyelo SoMthethosivivinywa Wokuphelelwa Isikhathi Kwezindaba Zombango kanye Namacala Obugebengu (Amacala Ezocansi) [B 22B - 2019] (iSishayamthetho Sikazwelonke – isigaba 75).,June
Appropriation Bill [B 4 – 2020] (National Assembly – sec 77).,UMthethosivivinywa Wokwabiwa Kwezimali Zikahulumeni [B 4 – 2020] (iSishayamthetho Sikazwelonke – isigaba 77).,June
INTERNATIONAL AGREEMENTS,IZIVUMELWANO ZAMAZWE OMHLABA,June
"Agreement between the Government of the Republic of South Africa and the International Centre for Genetic Engineering and Biotechnology (ICGEB) on the Establishment of an International Centre for Genetic Engineering and Biotechnology (ICGEB) Component in the Republic of South Africa (Tabled on 18 September 2019) (NA: Referred to Portfolio Committee on Higher Education, Science and Technology on 19 September 2019 - reported on 5 December 2019 – approved on 10 March 2020) (NCOP: Referred to Select Committee on Education and Technology, Sports, Arts and Culture on 19 November 2019 – reported on 26 May 2020).","Isivumelwano phakathi kukahulumeni weRiphabhuliki yaseNingizimu Afrika nesikhungo saMazwe Omhlaba esaziwa ngokuthi yi-International Centre for Genetic Engineering and Biotechnology (ICGEB) ngokuSungulwa kwengxenye yesikhungo esaziwa ngokuthi i-International Centre for Genetic Engineering and Biotechnology (ICGEB) eRiphabhuliki yaseNingizimu Afrika  (ISishayamthetho Sikazwelonke: Esindlalelwa iPhalamende mhlaziyi-18 kuMandulo wezi-2019) (UMkhandlu kaZwelonke WeziFundazwe: Esaqondiswa eKomidini loMkhandlu Kazwelonke Wezifundazwe elibhekele Ezemfundo, Ezobuchwepheshe, Ezemidlalo, EzobuCiko, kanye NamaSiko mhlazi-18 kuMandulo-2019 esabikwa mhlazi-5 kuZibandlela wezi-2019) egunyazwe mhlazi 10 kuNdasa 2020 (UMkandlu kaZwelonke Wezifundazwe: Esidluliselwe eKomidini loMkhandlu Kazwelonke Wezifundazwe elibhekele Ezemfundo, Ezobuchwepheshe, Ezemidlalo, EzobuCiko, kanye NamaSiko mhlaziyi-19 kuLwezi wezi-2019– sabikwa mhlazi-26 kuNhlaba wezi-2020).",June
"Ratification of the Agreement between the Government of the Republic of India, the Government of the Federative Republic of Brazil and the Government of the Republic of South Africa on the IBSA Fund for the Alleviation of Poverty and Hunger (signed 17 October 2017) (Tabled on 18 October 2019) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 22 October 2019) (NCOP: Referred to Select Committee on Security and Justice on 24 October 2019).","Ukuqiniswa kwesivumelwano phakathi kukahulumeni weRiphabhuliki yaseNdiya, uhulumeni Wobufederali weRiphabhuliki yaseBrazil kanye noHulumeni weRiphabhuliki yaseNingizimu Afrika mayelana neSikhwama se-IBSA Sokwehlisa izinga lobumpofu kanye Nendlala (Esasayindwa mhlazi-17 kuMfumfu wezi-2017) (Esethulwe mhlazi-18 kuMfumfu wezi-2019) (ISishayamthetho Sikazwelonke: Okuthunyelwe eKomidini elibhekele Ezobudlelwano Bamazwe Omhlaba Nokubambisana mhlazinga-22 kuMfumfu wezi-2019). (UMkhandlu kaZwelonke WeziFundazwe: Esaqondiswa eKomidini loMkhandlu Kazwelonke Wezifundazwe elibhekele Ezokuphepha kanye neZobulungiswa mhlazingama-24 kuMfumfu wezi-2019).",June
Agreement between the Government of the Republic of South Africa and the European Atomic Energy Community (EURATOM) for Co-operation in the Peaceful Uses of Nuclear Energy (Tabled on 14 November 2019) (NA: Referred to Portfolio Committee on Mineral Resources and Energy on 18 November 2019).,Isivumelwano phakathi kukahulumeni weRiphabhuliki yaseNingizimu Afrika kanye NoMphakathi WaseYurophu Olawula Ukusetshenziswa Kwamandla Enunzi (i-EURATOM) ukuze kuSetshenziswe Amandla Enunzi Ngokubambisana Okunokuthula (Esendlalwe mhlazi-14 kuLwezi wezi-2019) (Esithunyelwe eKomidini LeSishayamthetho sikaZwelonke elibhekele Ezezimbiwa Nezamandla mhlaziyi-18 kuLwezi wezi-2019).,June
Treaty between the Government of the Republic of South Africa and the Government of the United Mexican States on Mutual Legal Assistance in Criminal Matters (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 9 March 2020 – reported on 29 May 2020) (NCOP: Referred to Select Committee on Security and Justice on 10 March 2020 – reported on 1 June 2020).,Isivumelwano phakathi kukaHulumeni weRiphabhuliki yaseNingizimu Afrika kanye noHulumeni weRiphabhuliki yase United Mexican States mayelana nezokuBambisana kwezosizo lwezoMthetho emaCaleni obuGebengu (Esendlalwe mhla zi-5 kuNdasa wezi-2020). (UMkhandlu kaZwelonke: Sadluliselwa eKomidini loMkhandlu kaZwelonke weziFundazwe elibhekele ezokuPhepha nobuLungiswa mhla ziyi-10 kuNdasa wezi-2020 – sabikwa mhlalu-1 kuNhlangulana wezi-2020).,June
Treaty between the Government of the Republic of South Africa and the Government of the United Mexican States on Extradition (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 9 March 2020 – reported on 29 May 2020) (NCOP: Referred to Select Committee on Security and Justice on 10 March 2020 – reported on 1 June 2020).,Isivumelwano phakathi kukaHulumeni weRiphabhuliki yaseNingizimu Afrika kanye noHulumeni weRiphabhuliki yase United Mexican States mayelana nokubuyiselwa kwabanamacala ezweni labo (Esendlalwe mhla zi-5 kuNdasa wezi-2020) (UMkhandlu kaZwelonke: Sadluliselwa eKomidini loMkhandlu WeziFundazwe elibhekele EzokuPhepha NezobuLungiswa mhla ziyi-10 kuNdasa wezi-2020– sabikwa mhlalu-1 kuNhlangulana wezi-2020).,June
African Charter on Statistics (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Public Service and Administration on 9 March 2020).,I-Charter Yase-Afrika YeziBalo (Esendlalwe mhla zi-5 kuNdasa wezi-2020) (IsiShayamthetho sikaZwelonke: Sadluliselwa eKomidini loMkhandlu WeziFundazwe elibhekele Izisebenzi ZikaHulumeni NezokuPhatha mhlazi-9 kuNdasa wezi-2020).,June
Treaty of Amity and Cooperation (TAC) in South East Asia (Tabled on 18 March 2020) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 26 March 2020 – reported on 11 June 2020).,ISivumelwano Sobuhlobo kanye Nokubambisana eNingizimu Ntshonalanga ye-Asia (i-TAC) (Esendlalwe mhla zi-18 kuNdasa wezi-2020) (IsiShayamthetho sikaZwelonke: yadluliselwa eKomidini LezoBudlelwano kanye NokuBambisana Namazwe mhla zi-26 kuNdasa wezi-2020).,June
ORDER OF THE DAY:,IZINHLELO ZOSUKU:,July
"Debate on Vote No 41 – Water and Sanitation, Adjustments Appropriation Bill [B 10 - 2020] (National Assembly – sec 77).","Inkulumompikiswano ngeVoti lama-41 – Amanzi nokuThuthwa Kwendle, UkuLungiswa koMthethosivivinywa wokwaBiwa kweMali [B 10 - 2020] (IsiShayamthetho sikaZwelonke – isigaba sama- 77).",July
Virtual meeting platform: 14:00,Umhlangano nge-Intanethi: 14:00,July
ORDER OF THE DAY:,IZINHLELO ZOSUKU:,July
"Debate on Vote No 18 – Health, Adjustments Appropriation Bill [B 10 - 2020] (National Assembly – sec 77).","Inkulumompikiswano ngeVoti le-18 – Ezempilo UkuLungiswa koMthethosivivinywa wokwaBiwa kweMali, [B 10 - 2020] (IsiShayamthetho sikaZwelonke – isigaba sama- 77).",July
Virtual meeting platform: 14:00,Umhlangano nge-Intanethi: 14:00,July
ORDER OF THE DAY:,IZINHLELO ZOSUKU:,July
"Debate on Vote No 8 – National Treasury, Adjustments Appropriation Bill [B 10 - 2020] (National Assembly – sec 77).","Inkulumompikiswano ngeVoti lesi-8 – UMgcinimafa Kazwelonke, UkuLungiswa koMthethosivivinywa wokwaBiwa kweMali, [B 10 - 2020] (IsiShayamthetho sikaZwelonke – isigaba sama- 77).",July
Virtual meeting platform: 16:15,Umhlangano nge-Intanethi: 16:15,July
ORDER OF THE DAY:,IZINHLELO ZOSUKU:,July
"Debate on Vote No 23 – Defence, Adjustments Appropriation Bill [B 10 - 2020] (National Assembly – sec 77).","Inkulumompikiswano ngeVoti lama-23 – Ezokuvikela, UkuLungiswa koMthethosivivinywa wokwaBiwa kweMali [B 10 - 2020] (IsiShayamthetho sikaZwelonke – isigaba sama- 77).",July
Virtual meeting platform: 16:15,Umhlangano nge-Intanethi: 16:15,July
ORDER OF THE DAY:,IZINHLELO ZOSUKU:,July
