eng,afr,source
"Consideration of Report of Standing Committee on Auditor-General on Integrated Annual Report of Auditor-General for financial year 2018/19 (Announcements, Tablings and Committee Reports, 4 December 2019, p 3).","Oorweging van Verslag van Staande Komitee oor Auditeur-generaal oor Integrated Annual Report of Auditor-General for financial year 2018/19 (Aankondigings, Tertafelleggings en Komiteeverslae, 4 Desember 2019, bl 3).",June
MOTIONS (Notice given previously):,VOORSTELLE (Kennis voorheen gegee):,June
"See p 94-96 (Ms R C Adams, Mr S Ngcobo, Ms M S Khawula, Ms N G Adoons, Mr S L Ngcobo, Ms T Breedt, Ms T Mgweba, Mr W M Thring, Mr N L S Kwankwa, Mr M L Shelembe, Mrs E N Ntlangwini, Ms F A Masiko, Mr S H Mbuyane, Ms A S Hlongo, M.Gen O S Terblanche, Mr M G E Hendricks, Mr T S Mpanza, Mr P P Keetse, Ms R C Adams).","Kyk bl 94-96 (me R C Adams, mnr S Ngcobo, me M S Khawula, me N G Adoons, mnr S L Ngcobo, me T Breedt, me T Mgweba, mnr W M Thring, mnr N L S Kwankwa, mnr M L Shelembe, mev E N Ntlangwini, me F A Masiko, mnr S H Mbuyane, me A S Hlongo, maj-gen O S Terblanche, mnr M G E Hendricks, mnr T S Mpanza, mnr P P Keetse, me R C Adams).",June
APPENDIXES,AANHANGSELS,June
PETITIONS REFERRED TO COMMITTEES,PETISIES NA KOMITEES VERWYS,June
"Petition from the residents of Germiston, Ekurhuleni metropolitan municipality calling on the Assembly to investigate the numerous power outages (Mr M Waters) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Petition from the residents of Germiston, Ekurhuleni metropolitan municipality calling on the Assembly to investigate the numerous power outages (Mr M Waters) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake – Nasionale Vergadering).",June
"Petition from the residents of Boksburg, Ekurhuleni metropolitan municipality, calling on the Assembly to investigate the numerous power outages (Mr M Waters) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Petition from the residents of Boksburg, Ekurhuleni metropolitan municipality, calling on the Assembly to investigate the numerous power outages (Mr M Waters) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake – Nasionale Vergadering).",June
"Petition from the residents of Kempton Park, calling on the Assembly to investigate chronic inadequate visible policing and shortage of vehicles at the Kempton Park police station (Mr M Waters) – (Portfolio Committee on Police – National Assembly).","Petition from the residents of Kempton Park, calling on the Assembly to investigate chronic inadequate visible policing and shortage of vehicles at the Kempton Park police station (Mr M Waters) – (Portefeuljekomitee oor Polisie – Nasionale Vergadering).",June
"Petition from the residents of Alberton, calling on the Assembly to investigate public participation and legislative compliance in the proposed housing development in Alberton (Mr D Bergman) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","4.	Petition from the residents of Alberton, calling on the Assembly to investigate public participation and legislative compliance in the proposed housing development in Alberton (Mr D Bergman) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake – Nasionale Vergadering).",June
"Petition from the residents of Wattville, Benoni calling on the Assembly to address the escalation of crime, including gender-based violence and violence against children, and the need for a police station in their area (Ms H Ismail) – (Portfolio Committee on Police – National Assembly).","5.	Petition from the residents of Wattville, Benoni calling on the Assembly to address the escalation of crime, including gender-based violence and violence against children, and the need for a police station in their area (Ms H Ismail) – (Portefeuljekomitee oor Polisie – Nasionale Vergadering).",June
"Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high crime rate and drugs, the provision of police kiosks and police vehicles in their area (Ms H Ismail) – (Portfolio Committee on Police – National Assembly).","6.	Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high crime rate and drugs, the provision of police kiosks and police vehicles in their area (Ms H Ismail) – (Portefeuljekomitee oor Polisie – Nasionale Vergadering).",June
"Petition from the residents of the City of Ekurhuleni, calling on the Assembly to investigate the chronic inadequate refuse removal services in their area (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","7.	Petition from the residents of the City of Ekurhuleni, calling on the Assembly to investigate the chronic inadequate refuse removal services in their area (Ms H Ismail) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake – Nasionale Vergadering).",June
"Petition from the residents of Kokomeng and neighbouring villages, calling on the Assembly to investigate and prioritize the re-opening of the Kokomeng police station (Mr I S Seitlholo) – (Portfolio Committee on Police – National Assembly).","8.	Petition from the residents of Kokomeng and neighbouring villages, calling on the Assembly to investigate and prioritize the re-opening of the Kokomeng police station (Mr I S Seitlholo) – (Portefeuljekomitee oor Polisie – Nasionale Vergadering).",June
"Petition from the residents of Bredell, Pomona, Brentwood Park and Glen Marais (ward 25), City of Ekurhuleni, calling on the Assembly to investigate the collapse of the reliable supply of electricity in their areas (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","9.	Petition from the residents of Bredell, Pomona, Brentwood Park and Glen Marais (ward 25), City of Ekurhuleni, calling on the Assembly to investigate the collapse of the reliable supply of electricity in their areas (Ms H Ismail) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake – Nasionale Vergadering).",June
"Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high rentals paid by tenants of council-owned flats (Ms H Ismail) – (Portfolio Committee on Human Settlements, Water and Sanitation – National Assembly).","10.	Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high rentals paid by tenants of council-owned flats (Ms H Ismail) – (Portefeuljekomitee oor Menslike Nedersettings, Water en Sanitasie – Nasionale Vergadering).",June
"Petition from the residents of Ward 37, Alberton North, Ekurhuleni, calling on the Assembly to investigate the illegal occupation of stand 1/1224 number 42, Second Avenue, Alberton North (Mr D Bergman) – (Portfolio Committee on Cooperative Governance and Traditional Affairs and Portfolio Committee on Police – National Assembly).","11.	Petition from the residents of Ward 37, Alberton North, Ekurhuleni, calling on the Assembly to investigate the illegal occupation of stand 1/1224 number 42, Second Avenue, Alberton North (Mr D Bergman) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake en Portefeuljekomitee oor Polisie – Nasionale Vergadering).",June
BILLS REFERRED TO JOINT TAGGING MECHANISM (JTM),WETSONTWERPE NA GESAMENTLIKE KLASSIFISERINGSMEGANISME (GKM) VERWYS,June
Upgrading of Land Tenure Rights Amendment Bill [B 6 - 2020] (National Assembly – proposed sec 76).,Upgrading of Land Tenure Rights Amendment Bill [B 6 - 2020] (Nasionale Vergadering – voorgestelde art 76).,June
National Road Traffic Amendment Bill [B7-2020] (National Assembly – proposed sec 76).,National Road Traffic Amendment Bill [B7-2020] (Nasionale Vergadering – voorgestelde art 76).,June
Transport Appeal Tribunal Amendment Bill [B8-2020] (National Assembly – proposed sec 76).,Transport Appeal Tribunal Amendment Bill [B8-2020] (Nasionale Vergadering – voorgestelde art 76).,June
BILLS REFERRED TO COMMITTEES,WETSONTWERPE NA KOMITEES VERWYS,June
"Protection of State Information Bill [B 6H – 2010] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 7) – (Portfolio Committee on Justice and Correctional Services – National Assembly).","Protection of State Information Bill [B 6H – 2010] (Nasionale Vergadering – art 75) en die President se voorbehoude oor die grondwetlikheid van die wetsontwerp soos aan hom voorgelê (Aankondigings, Tertafelleggings en Komiteeverslae, 12 Junie 2020, bl 7) – (Portefeuljekomitee oor Justisie en Korrektiewe Dienste – Nasionale Vergadering).",June
"Liquor Products Amendment Bill [B 10B – 2016] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 2) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly).","Liquor Products Amendment Bill [B 10B – 2016] (Nasionale Vergadering – art 75) en die President se voorbehoude oor die grondwetlikheid van die wetsontwerp soos aan hom voorgelê (Aankondigings, Tertafelleggings en Komiteeverslae, 12 Junie 2020, bl 2) – (Portefeuljekomitee oor Landbou, Grondhervorming en Landelike Ontwikkeling – Nasionale Vergadering).",June
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,Traditional Courts Bill [B 1B – 2017] (Nasionale Vergadering – art 76) – (Gekose Komitee oor Veiligheid en Justisie – Nasionale Raad van Provinsies).,June
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75) – (Select Committee on Security and Justice – National Council of Provinces).,Cybercrimes Bill [B 6B – 2017] (Nasionale Vergadering – art 75) – (Gekose Komitee oor Veiligheid en Justisie – Nasionale Raad van Provinsies).,June
Road Accident Benefit Scheme Bill [B 17B – 2017] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Road Accident Benefit Scheme Bill [B 17B – 2017] (Nasionale Vergadering – art 75) – (Portefeuljekomitee oor Vervoer – Nasionale Vergadering).,June
International Crimes Bill [B 37 – 2017] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,International Crimes Bill [B 37 – 2017] (Nasionale Vergadering – art 75) – (Portefeuljekomitee oor Justisie en Korrektiewe Dienste – Nasionale Vergadering).,June
"Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Airports Company Amendment Bill [B 5B – 2018] (Nasionale Vergadering – art 75) – (Gekose Komitee oor Vervoer, Staatsdiens en Administrasie, Openbare Werke en Infrastruktuur – Nasionale Raad van Provinsies).",June
"Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (Nasionale Vergadering – art 75) – (Gekose Komitee oor Vervoer, Staatsdiens en Administrasie, Openbare Werke en Infrastruktuur – Nasionale Raad van Provinsies).",June
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76) – (Select Committee on Health and Social Services – National Council of Provinces).,Social Assistance Amendment Bill [B 8B - 2018] (Nasionale Vergadering – art 76) – (Gekose Komitee oor Gesondheid en Maatskaplike Dienste – Nasionale Raad van Provinsies).,June
Prevention of Hate Crimes and Hate Speech Bill [B 9 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Prevention of Hate Crimes and Hate Speech Bill [B 9 – 2018] (Nasionale Vergadering – art 75) – (Portefeuljekomitee oor Justisie en Korrektiewe Dienste – Nasionale Vergadering).,June
State Liability Amendment Bill [B 16 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,State Liability Amendment Bill [B 16 – 2018] (Nasionale Vergadering – art 75) – (Portefeuljekomitee oor Justisie en Korrektiewe Dienste – Nasionale Vergadering).,June
"Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76) – (Select Committee on Cooperative Governance and Traditional Affairs, Water and Sanitation and Human Settlements – National Council of Provinces).","Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (Nasionale Vergadering – art 76) – (Gekose Komitee oor Samewerkende Regering en Tradisionele Sake, Water en Sanitasie en Menslike Nedersettings – Nasionale Raad van Provinsies).",June
South African Reserve Bank Bill [B 26 – 2018] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,South African Reserve Bank Bill [B 26 – 2018] (Nasionale Vergadering – art 75) – (Staande Komitee oor Finansies – Nasionale Vergadering).,June
"National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76) – (Select Committee on Trade and Industry, Economic Development, Small Business Development, Tourism, Labour and Employment – National Council of Provinces).","National Gambling Amendment Bill [B 27B – 2018] (Nasionale Vergadering – art 76) – (Gekose Komitee oor Handel en Nywerheid, Ekonomiese Ontwikkeling, Kleinsakeontwikkeling, Toerisme, Arbeid en Indiensneming – Nasionale Raad van Provinsies).",June
National Health Amendment Bill [B 29 – 2018] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,National Health Amendment Bill [B 29 – 2018] (Nasionale Vergadering – art 76) – (Portefeuljekomitee oor Gesondheid – Nasionale Vergadering).,June
Public Finance Management Amendment Bill [B 41  2018] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,Public Finance Management Amendment Bill [B 41  2018] (Nasionale Vergadering – art 76) – (Staande Komitee oor Finansies – Nasionale Vergadering).,June
"Science and Technology Laws Amendment Bill [B 42B  2018] (National Assembly – sec 75) – (Select Committee on Education and Technology, Sports, Arts and Culture – National Council of Provinces).","Science and Technology Laws Amendment Bill [B 42B  2018] (Nasionale Vergadering – art 75) – (Gekose Komitee oor Onderwys en Tegnologie, Sport, Kuns en Kultuur – Nasionale Raad van Provinsies).",June
Civil Aviation Amendment Bill [B 44 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Civil Aviation Amendment Bill [B 44 – 2018] (Nasionale Vergadering – art 75) – (Portefeuljekomitee oor Vervoer – Nasionale Vergadering).,June
Local Government: Municipal Systems Amendment Bill [B 2 – 2019] (National Assembly – sec 76) – (Portfolio Committee Cooperative Government and Traditional Affairs – National Assembly).,Local Government: Municipal Systems Amendment Bill [B 2 – 2019] (Nasionale Vergadering – art 76) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake – Nasionale Vergadering).,June
National Health Insurance Bill [B 11 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,National Health Insurance Bill [B 11 - 2019] (Nasionale Vergadering – art 76) – (Portefeuljekomitee oor Gesondheid – Nasionale Vergadering).,June
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (Nasionale Vergadering – art 76) – (Gekose Komitee oor Veiligheid en Justisie – Nasionale Raad van Provinsies).,June
Judicial Matters Amendment Bill [B 13B - 2019] (National Assembly – sec 75) – (Select Committee on Security and Justice - National Council of Provinces).,Judicial Matters Amendment Bill [B 13B - 2019] (Nasionale Vergadering – art 75) – (Gekose Komitee oor Veiligheid en Justisie – Nasionale Raad van Provinsies).,June
Independent Electricity Management Operator Bill [B 14 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Mineral Resources and Energy – National Assembly).,Independent Electricity Management Operator Bill [B 14 - 2019] (Nasionale Vergadering – art 76) – (Portefeuljekomitee oor Minerale Hulpbronne en Energie – Nasionale Vergadering).,June
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75) – (Select Committee on Security and Justice – National Council of Provinces).,Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (Nasionale Vergadering – art 75) – (Gekose Komitee oor Veiligheid en Justisie – Nasionale Raad van Provinsies).,June
Economic Regulation of Transport Bill [B 1 - 2020] (National Assembly– sec 76) – (Portfolio Committee on Transport – National Assembly).,Economic Regulation of Transport Bill [B 1 - 2020] (Nasionale Vergadering – art 76) – (Portefeuljekomitee oor Vervoer – Nasionale Vergadering).,June
Auditing Profession Amendment Bill [B 2 - 2020] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,Auditing Profession Amendment Bill [B 2 - 2020] (Nasionale Vergadering – art 75) – (Staande Komitee oor Finansies – Nasionale Vergadering).,June
Fiscal Responsibility Bill [B 5 - 2020] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,Fiscal Responsibility Bill [B 5 - 2020] (Nasionale Vergadering – art 76) – (Staande Komitee oor Finansies – Nasionale Vergadering).,June
"Upgrading of Land Tenure Rights Amendment Bill [B 6 - 2020] (National Assembly – proposed sec 76) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly).","Upgrading of Land Tenure Rights Amendment Bill [B 6 - 2020] (Nasionale Vergadering – voorgestelde art 76) – (Portefeuljekomitee oor Landbou, Grondhervorming en Landelike Ontwikkeling – Nasionale Vergadering).",June
National Road Traffic Amendment Bill [B7-2020] (National Assembly – proposed sec 76) – (Portfolio Committee on Transport – National Assembly).,National Road Traffic Amendment Bill [B 7 - 2020] (Nasionale Vergadering – voorgestelde art 76) – (Portefeuljekomitee oor Vervoer – Nasionale Vergadering).,June
Transport Appeal Tribunal Amendment Bill [B8-2020] (National Assembly – proposed sec 76) – (Portfolio Committee on Transport – National Assembly).,Transport Appeal Tribunal Amendment Bill [B 8 - 2020] (Nasionale Vergadering – voorgestelde art 76) – (Portefeuljekomitee oor Vervoer – Nasionale Vergadering).,June
BILLS RETURNED TO ASSEMBLY FOR CONSIDERATION OF PRESIDENT’S RESERVATIONS,WETSONTWERPE TERUGGESTUUR NA NASIONALE VERGADERING TER OORWEGING WEENS PRESIDENT SE VOORBEHOUDE,June
Liquor Products Amendment Bill [B 10B – 2016] (National Assembly – sec 75).,Liquor Products Amendment Bill [B 10B – 2016] (Nasionale Vergadering – art 75).,June
Protection of State Information Bill [B 6H – 2010] (National Assembly – sec 75).,Protection of State Information Bill [B 6H – 2010] (Nasionale Vergadering – art 75).,June
BILLS PASSED BY NATIONAL ASSEMBLY AND TRANSMITTED TO NATIONAL COUNCIL OF PROVINCES FOR CONCURRENCE,WETSONTWERPE DEUR NASIONALE VERGADERING GOEDGEKEUR EN NA NASIONALE RAAD VAN PROVINSIES GESTUUR VIR INSTEMMING,June
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76).,Traditional Courts Bill [B 1B – 2017] (Nasionale Vergadering – art 76).,June
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75).,Cybercrimes Bill [B 6B – 2017] (Nasionale Vergadering – art 75).,June
Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75).,Airports Company Amendment Bill [B 5B – 2018] (Nasionale Vergadering – art 75).,June
Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75).,Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (Nasionale Vergadering – art 75).,June
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76).,Social Assistance Amendment Bill [B 8B - 2018] (Nasionale Vergadering – art 76).,June
Civil Union Amendment Bill [B 11B – 2018] (National Assembly – sec 75).,Civil Union Amendment Bill [B 11B – 2018] (Nasionale Vergadering – art 75).,June
Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76).,Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (Nasionale Vergadering – art 76).,June
National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76).,National Gambling Amendment Bill [B 27B – 2018] Nasionale Vergadering – art 76).,June
Science and Technology Laws Amendment Bill [B 42B  2018] (National Assembly – sec 75).,Science and Technology Laws Amendment Bill [B 42B  2018] (Nasionale Vergadering – art 75).,June
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76).,Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (Nasionale Vergadering – art 76).,June
Judicial Matters Amendment Bill [B 13B - 2019] (National Assembly – sec 75).,Judicial Matters Amendment Bill [B 13B - 2019] (Nasionale Vergadering – art 75).,June
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75).,Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (Nasionale Vergadering – art 75).,June
Appropriation Bill [B 4 – 2020] (National Assembly – sec 77).,Appropriation Bill [B 4 – 2020] (Nasionale Vergadering – art 77).,June
INTERNATIONAL AGREEMENTS,INTERNASIONALE OOREENKOMSTE,June
"Agreement between the Government of the Republic of South Africa and the International Centre for Genetic Engineering and Biotechnology (ICGEB) on the Establishment of an International Centre for Genetic Engineering and Biotechnology (ICGEB) Component in the Republic of South Africa (Tabled on 18 September 2019) (NA: Referred to Portfolio Committee on Higher Education, Science and Technology on 19 September 2019 - reported on 5 December 2019 – approved on 10 March 2020) (NCOP: Referred to Select Committee on Education and Technology, Sports, Arts and Culture on 19 November 2019 – reported on 26 May 2020).","Agreement between the Government of the Republic of South Africa and the International Centre for Genetic Engineering and Biotechnology (ICGEB) on the Establishment of an International Centre for Genetic Engineering and Biotechnology (ICGEB) Component in the Republic of South Africa (Ter tafel gelê op 18 September 2019) (NV: Verwys na Portefeuljekomitee oor Hoër Onderwys, Wetenskap en Tegnologie op 19 September 2019 – voorgelê op 5 Desember 2019 – goedgekeur op 10 Maart 2020) (NRVP: Verwys na Gekose Komitee oor Onderwys en Tegnologie, Sport, Kuns en Kultuur op 19 November 2019 – voorgelê op 26 Mei 2020).",June
"Ratification of the Agreement between the Government of the Republic of India, the Government of the Federative Republic of Brazil and the Government of the Republic of South Africa on the IBSA Fund for the Alleviation of Poverty and Hunger (signed 17 October 2017) (Tabled on 18 October 2019) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 22 October 2019) (NCOP: Referred to Select Committee on Security and Justice on 24 October 2019).","Ratification of the Agreement between the Government of the Republic of India, the Government of the Federative Republic of Brazil and the Government of the Republic of South Africa on the IBSA Fund for the Alleviation of Poverty and Hunger (signed 17 October 2017) (Ter tafel gelê op 18 Oktober 2019) (NV: Verwys na Portefeuljekomitee oor Internasionale Betrekkinge en Samewerking op 22 Oktober 2019) (NRVP: Verwys na Gekose Komitee oor Veiligheid en Justisie op 24 Oktober 2019).",June
Agreement between the Government of the Republic of South Africa and the European Atomic Energy Community (EURATOM) for Co-operation in the Peaceful Uses of Nuclear Energy (Tabled on 14 November 2019) (NA: Referred to Portfolio Committee on Mineral Resources and Energy on 18 November 2019).,Agreement between the Government of the Republic of South Africa and the European Atomic Energy Community (EURATOM) for Co-operation in the Peaceful Uses of Nuclear Energy (Ter tafel gelê op 14 November 2019) (NV: Verwys na Portefeuljekomitee oor Minerale Hulpbronne en Energie op 18 November 2019).,June
Treaty between the Government of the Republic of South Africa and the Government of the United Mexican States on Mutual Legal Assistance in Criminal Matters (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 9 March 2020 – reported on 29 May 2020) (NCOP: Referred to Select Committee on Security and Justice on 10 March 2020 – reported on 1 June 2020).,Treaty between the Government of the Republic of South Africa and the Government of the United Mexican States on Mutual Legal Assistance in Criminal Matters (Ter tafel gelê op 5 Maart 2020) (NV: Verwys na Portefeuljekomitee oor Justisie en Korrektiewe Dienste op 9 Maart 2020– verslag gedoen op 29 Mei 2020) (NRVP: Verwys na Gekose Komitee oor Veiligheid en Justisie op 10 Maart 2020  – voorgelê op 1 Junie 2020).,June
Treaty between the Government of the Republic of South Africa and the Government of the United Mexican States on Extradition (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 9 March 2020 – reported on 29 May 2020) (NCOP: Referred to Select Committee on Security and Justice on 10 March 2020 – reported on 1 June 2020).,Treaty between the Government of the Republic of South Africa and the Government of the United Mexican States on Extradition (Ter tafel gelê op 5 Maart 2020) (NV: Verwys na Portefeuljekomitee oor Justisie en Korrektiewe Dienste op 9 Maart 2020 – voorgelê op 29 Mei 2020) (NRVP: Verwys na Gekose Komitee oor Veiligheid en Justisie op 10 Maart 2020 – voorgelê op 1 Junie 2020).,June
African Charter on Statistics (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Public Service and Administration on 9 March 2020).,African Charter on Statistics (Ter tafel gelê op 5 Maart 2020) (NV: Verwys na Portefeuljekomitee oor Staatsdiens en Administrasie op 9 Maart 2020).,June
Treaty of Amity and Cooperation (TAC) in South East Asia (Tabled on 18 March 2020) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 26 March 2020 – reported on 11 June 2020).,Treaty of Amity and Cooperation (TAC) in South East Asia (Ter tafel gelê op 18 Maart 2020) (NV: Verwys na Portefeuljekomitee oor Internasionale Betrekkinge en Samewerking op 26 Maart 2020 – voorgelê op 11 Junie 2020).,June
MINISTERIAL STATEMENT:,MINISTERIëLE VERKLARING:,July
Statement by the Minister of Health on COVID-19.,Verklaring deur Minister van Gesondheid oor COVID-19.,July
ORDERS OF THE DAY:,DAGORDES:,July
"Consideration of Report of Standing Committee on Finance on Revised Fiscal Framework and Revenue Proposals for 2020-2021 (Announcements, Tablings and Committee Reports, 7 July 2020, p 4).","Oorweging van Verslag van Staande Komitee oor Finansies oor Revised Fiscal Framework and Revenue Proposals for 2020-2021 (Aankondigings, Tertafelleggings en Komiteeverslae, 7 Julie 2020, bl 4).",July
FURTHER BUSINESS,VERDERE WERKSAAMHEDE,July
ORDERS OF THE DAY:,DAGORDES:,July
"Consideration of Report of Portfolio Committee on Police on Unsolicited petition on Re-enlistment of former Police forum members into Police Service (Mr M Qongqo) (Announcements, Tablings and Committee Reports, 26 June 2020, p 20).","Oorweging van Verslag van Portefeuljekomitee oor Polisie oor unsolicited Petition on Re-enlistment of former Police forum members into Police Service (Mr M Qongqo) (Aankondigings, Tertafelleggings en Komiteeverslae, 26 Junie 2020, bl 20).",July
"Consideration of Report of Portfolio Committee on Police on Petition from the residents of Wattville, Benoni calling on the Assembly to address the escalation of crime, including gender-based violence and violence against children, and the need for a police station in their area (submitted by Ms H Ismail, MP) and Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high crime rate and drugs, the provision of police kiosks and police vehicles in their area (submitted by Ms H Ismail, MP) (Announcements, Tablings and Committee Reports, 26 June 2020, p 15).","Oorweging van Verslag van Portefeuljekomitee oor Polisie oor Petition from the residents of Wattville, Benoni calling on the Assembly to address the escalation of crime, including gender-based violence and violence against children, and the need for a police station in their area (submitted by Ms H Ismail, MP) and Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high crime rate and drugs, the provision of police kiosks and police vehicles in their area (submitted by Ms H Ismail, MP) (Aankondigings, Tertafelleggings en Komiteeverslae, 26 Junie 2020, bl 15).",July
"Consideration of Report of Portfolio Committee on Police on Petition of Mr Cornelius Basson (Announcements, Tablings and Committee Reports, 26 June 2020, p 10).","Oorweging van Verslag van Portefeuljekomitee oor Polisie oor Petition of Mr Cornelius Basson (Aankondigings, Tertafelleggings en Komiteeverslae, 26 June 2020, bl 10).",July
"Consideration of Report of Portfolio Committee on Police on Application for Firearm Amnesty declaration (Announcements, Tablings and Committee Reports, 26 June 2020, p 9).","Oorweging van Verslag van Portefeuljekomitee oor Polisie oor Application for Firearm Amnesty declaration (Aankondigings, Tertafelleggings en Komiteeverslae, 26 Junie 2020, bl 9).",July
"Consideration of Report of Portfolio Committee on Police on Petition from the residents of Kempton Park, calling on the Assembly to investigate chronic inadequate visible policing and shortage of vehicles at the Kempton Park police station (submitted by Mr M Waters, MP) (Announcements, Tablings and Committee Reports, 26 June 2020, p 4).","Oorweging van Verslag van Portefeuljekomitee oor Polisie oor Petition from the residents of Kempton Park, calling on the Assembly to investigate chronic inadequate visible policing and shortage of vehicles at the Kempton Park police station (submitted by Mr M Waters, MP) (Aankondigings, Tertafelleggings en Komiteeverslae, 26 Junie 2020, bl 4).",July
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s fourth quarter financial and non-financial performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 25 June 2020, p 5).","Oorweging van Verslag van Portefeuljekomitee oor Handel en Nywerheid oor Departments of Trade and Industry and of Economic Development’s fourth quarter financial and non-financial performance for 2019/20 financial year (Aankondigings, Tertafelleggings en Komiteeverslae, 25 Junie 2020, bl 5).",July
"Consideration of Report of Portfolio Committee on Trade and Industry on Oversight visit to Gauteng (Announcements, Tablings and Committee Reports, 23 June 2020, p 17).","Oorweging van Verslag van Portefeuljekomitee oor Handel en Nywerheid oor Oversight visit to Gauteng (Aankondigings, Tertafelleggings en Komiteeverslae, 23 Junie 2020, p 17).",July
